s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 1.3444451E+001, 3.6629295E+002, 0.0000000E+000,-1.4888623E+002,-4.7440681E-002,-7.6328654E+001,-1.7401056E-002, 5.2742396E+001, 0.0000000E+000, 1.9423055E+002, 1.9375563E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.6263919E+004
 1.3563560E+001, 3.7487070E+002, 0.0000000E+000,-1.4697393E+002,-5.1474122E-002,-7.6862769E+001,-1.8429850E-002, 5.8863659E+001, 0.0000000E+000, 2.0928783E+002, 2.0982776E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.6516697E+004
 1.3680374E+001, 3.7776929E+002, 0.0000000E+000,-1.3945054E+002,-2.7509042E-002,-7.6779898E+001,-1.9237286E-002, 6.2777436E+001, 0.0000000E+000, 2.2402131E+002, 2.2426954E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.6782287E+004
 1.3804662E+001, 3.8691449E+002, 0.0000000E+000,-1.4931818E+002,-6.5578211E-002,-7.5694716E+001,-1.9163688E-002, 6.1766029E+001, 0.0000000E+000, 2.2382874E+002, 2.2358288E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.7059858E+004
 1.3926294E+001, 4.1969294E+002, 0.0000000E+000,-1.5900178E+002,-4.8377772E-002,-7.5902857E+001,-1.8810202E-002, 6.9895599E+001, 0.0000000E+000, 2.5212827E+002, 2.5461671E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.7365594E+004
 1.4047928E+001, 4.2786426E+002, 0.0000000E+000,-1.5679424E+002,-3.8085515E-002,-7.7566191E+001,-1.8532383E-002, 7.8995689E+001, 0.0000000E+000, 2.7347920E+002, 2.7244291E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.7713044E+004
 1.4161452E+001, 3.6438281E+002, 0.0000000E+000,-1.3446885E+002,-3.7422003E-002,-7.5933268E+001,-1.8669708E-002, 6.6615668E+001, 0.0000000E+000, 2.2459543E+002, 2.2054027E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.7989674E+004
 1.4286329E+001, 3.4482408E+002, 0.0000000E+000,-1.3144468E+002,-4.5764879E-002,-7.4768135E+001,-1.9615287E-002, 5.5460013E+001, 0.0000000E+000, 1.9405367E+002, 1.9400589E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.8240883E+004
 1.4404299E+001, 3.8166414E+002, 0.0000000E+000,-1.4352886E+002,-3.0966431E-002,-7.5635396E+001,-1.9223788E-002, 6.1001424E+001, 0.0000000E+000, 2.2096983E+002, 2.2345111E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.8500304E+004
 1.4521717E+001, 4.2057096E+002, 0.0000000E+000,-1.6434231E+002,-7.1395642E-002,-7.6254783E+001,-1.8922735E-002, 6.6529700E+001, 0.0000000E+000, 2.4206230E+002, 2.4641325E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.8780021E+004
 1.4643075E+001, 4.0963193E+002, 0.0000000E+000,-1.5944801E+002,-4.4562099E-002,-7.6768658E+001,-1.9227000E-002, 6.9876206E+001, 0.0000000E+000, 2.4718583E+002, 2.4322768E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.9089358E+004
 1.4766708E+001, 3.6531637E+002, 0.0000000E+000,-1.4329431E+002,-5.6109907E-002,-7.7149713E+001,-1.8738221E-002, 5.8847635E+001, 0.0000000E+000, 2.0352674E+002, 2.0364513E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.9352901E+004
 1.4884160E+001, 3.4508927E+002, 0.0000000E+000,-1.4044102E+002,-4.6298429E-002,-7.7645975E+001,-1.8507357E-002, 5.0616286E+001, 0.0000000E+000, 1.8110147E+002, 1.7755376E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.9570611E+004
 1.5006213E+001, 3.1974368E+002, 0.0000000E+000,-1.3249641E+002,-7.4678118E-002,-7.8053894E+001,-1.8882181E-002, 4.2138007E+001, 0.0000000E+000, 1.4756905E+002, 1.5123782E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 3.9754343E+004
 1.5122820E+001, 4.3806246E+002, 0.0000000E+000,-1.6117619E+002,-1.2667607E-002,-7.8634983E+001,-1.8927943E-002, 7.2775803E+001, 0.0000000E+000, 2.6799294E+002, 2.7099550E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.0059405E+004
 1.5247978E+001, 3.8578147E+002, 0.0000000E+000,-1.5930136E+002,-9.5364374E-002,-7.8359693E+001,-1.9378429E-002, 5.9873839E+001, 0.0000000E+000, 2.0854321E+002, 2.0787952E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.0330619E+004
 1.5361156E+001, 4.0422854E+002, 0.0000000E+000,-1.5377425E+002,-3.7996416E-002,-7.8175248E+001,-1.9321820E-002, 6.9537211E+001, 0.0000000E+000, 2.4418386E+002, 2.4175894E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.0616995E+004
 1.5485103E+001, 3.8023420E+002, 0.0000000E+000,-1.4701293E+002,-5.2087256E-002,-7.6880260E+001,-1.9200229E-002, 6.1589776E+001, 0.0000000E+000, 2.1529520E+002, 2.1785950E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.0892282E+004
 1.5601421E+001, 3.9849601E+002, 0.0000000E+000,-1.5915933E+002,-3.3776931E-002,-7.7077348E+001,-1.9178586E-002, 6.3077999E+001, 0.0000000E+000, 2.2723566E+002, 2.2528437E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.1159276E+004
 1.5726908E+001, 3.4050721E+002, 0.0000000E+000,-1.5242243E+002,-5.1580339E-002,-7.7721487E+001,-1.9131474E-002, 4.6105560E+001, 0.0000000E+000, 1.6129097E+002, 1.5639814E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.1371791E+004
 1.5848424E+001, 3.5065212E+002, 0.0000000E+000,-1.4071311E+002,-5.9154089E-002,-7.7740868E+001,-1.9066463E-002, 5.0895034E+001, 0.0000000E+000, 1.7759518E+002, 1.8301496E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.1592083E+004
 1.5964046E+001, 4.2741457E+002, 0.0000000E+000,-1.5890769E+002,-3.8244389E-002,-7.7949149E+001,-1.9461659E-002, 7.3191823E+001, 0.0000000E+000, 2.6208450E+002, 2.6369184E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.1897421E+004
 1.6081156E+001, 3.6264369E+002, 0.0000000E+000,-1.5829380E+002,-5.5560344E-002,-7.7713077E+001,-1.8957499E-002, 5.1219151E+001, 0.0000000E+000, 1.8444568E+002, 1.7778145E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.2118726E+004
 1.6203072E+001, 3.2515077E+002, 0.0000000E+000,-1.4477323E+002,-4.3099578E-002,-7.6884484E+001,-1.9155342E-002, 4.0087187E+001, 0.0000000E+000, 1.4314082E+002, 1.4351798E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.2295540E+004
 1.6321285E+001, 3.4328924E+002, 0.0000000E+000,-1.4830473E+002,-4.0194401E-002,-7.6889689E+001,-1.9760123E-002, 4.4520434E+001, 0.0000000E+000, 1.6069597E+002, 1.6255530E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.2484882E+004
 1.6442713E+001, 3.6950296E+002, 0.0000000E+000,-1.5121628E+002,-4.2414017E-002,-7.7711441E+001,-1.8906038E-002, 5.4448437E+001, 0.0000000E+000, 1.9316094E+002, 1.9496236E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.2722879E+004
 1.6566545E+001, 3.8826414E+002, 0.0000000E+000,-1.6109609E+002,-3.7950252E-002,-7.8196082E+001,-1.7880671E-002, 5.9025507E+001, 0.0000000E+000, 2.0940339E+002, 2.0794164E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.2987971E+004
 1.6680891E+001, 3.3403550E+002, 0.0000000E+000,-1.4170160E+002,-7.0074316E-002,-7.8548987E+001,-1.7989029E-002, 4.5653988E+001, 0.0000000E+000, 1.6002015E+002, 1.5935085E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.3177657E+004
 1.6808157E+001, 3.4037108E+002, 0.0000000E+000,-1.4826733E+002,-5.4799680E-002,-7.9469161E+001,-1.8615547E-002, 4.1771650E+001, 0.0000000E+000, 1.5511348E+002, 1.5433282E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.3371048E+004
 1.6925728E+001, 3.7085676E+002, 0.0000000E+000,-1.6202330E+002,-5.4052006E-002,-8.0116568E+001,-1.9415234E-002, 4.6692088E+001, 0.0000000E+000, 1.7273338E+002, 1.7533551E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.3567755E+004
 1.7041759E+001, 3.7865698E+002, 0.0000000E+000,-1.6412492E+002,-4.4700499E-002,-8.0673147E+001,-1.8366431E-002, 5.1320728E+001, 0.0000000E+000, 1.8559115E+002, 1.8511657E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.3783129E+004
 1.7166733E+001, 3.5681457E+002, 0.0000000E+000,-1.6091779E+002,-5.2674357E-002,-8.1871684E+001,-1.7852363E-002, 4.3789469E+001, 0.0000000E+000, 1.5929170E+002, 1.5774404E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.3982221E+004
 1.7287205E+001, 3.7274598E+002, 0.0000000E+000,-1.5238308E+002,-7.3411195E-002,-8.2513744E+001,-1.7690217E-002, 5.1422336E+001, 0.0000000E+000, 1.8552537E+002, 1.8918040E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.4204347E+004
 1.7400864E+001, 3.8579931E+002, 0.0000000E+000,-1.6406242E+002,-6.1251602E-002,-8.2839556E+001,-1.7467045E-002, 5.1678534E+001, 0.0000000E+000, 1.9071851E+002, 1.9049715E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.4416887E+004
 1.7521704E+001, 3.9970950E+002, 0.0000000E+000,-1.6995499E+002, 1.8711141E-003,-8.4231978E+001,-1.7773053E-002, 5.4625701E+001, 0.0000000E+000, 2.0387641E+002, 2.0013233E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.4657806E+004
 1.7640661E+001, 3.8621185E+002, 0.0000000E+000,-1.6226712E+002,-8.9466670E-002,-8.6585198E+001,-1.8301574E-002, 5.3336812E+001, 0.0000000E+000, 1.8711025E+002, 1.9058857E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.4884973E+004
 1.7768383E+001, 3.4352217E+002, 0.0000000E+000,-1.5146859E+002,-5.2492249E-002,-8.7398724E+001,-1.7611120E-002, 4.3387357E+001, 0.0000000E+000, 1.5353102E+002, 1.4797211E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.5089221E+004
 1.7882158E+001, 3.2618884E+002, 0.0000000E+000,-1.4257067E+002,-1.3142136E-001,-8.6459568E+001,-1.8568150E-002, 3.7102519E+001, 0.0000000E+000, 1.3148632E+002, 1.3411114E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.5240406E+004
 1.8005413E+001, 3.5155340E+002, 0.0000000E+000,-1.5442297E+002,-4.7216103E-002,-8.7317925E+001,-1.9000106E-002, 4.1430822E+001, 0.0000000E+000, 1.5025352E+002, 1.5117712E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.5424351E+004
 1.8120733E+001, 3.8103290E+002, 0.0000000E+000,-1.6253278E+002,-4.9456645E-002,-8.8835593E+001,-1.8724073E-002, 4.8791544E+001, 0.0000000E+000, 1.7544113E+002, 1.7838789E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.5626053E+004
 1.8243383E+001, 4.2879096E+002, 0.0000000E+000,-1.7497032E+002,-4.6326906E-002,-8.9829712E+001,-1.9212349E-002, 6.3310338E+001, 0.0000000E+000, 2.2750901E+002, 2.2723573E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.5906607E+004
 1.8361670E+001, 3.4188553E+002, 0.0000000E+000,-1.5101420E+002,-8.4635356E-002,-8.8774981E+001,-1.8427997E-002, 4.6312767E+001, 0.0000000E+000, 1.5400888E+002, 1.4830605E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.6108579E+004
