,,s,s,s
    1900,2026-02-04T10:56:43.803+01:00, 0.859E-02,  14.99817, 0.12922E+03
    2000,2026-02-04T10:56:50.820+01:00, 0.754E-02,  15.86645, 0.13620E+03
    2100,2026-02-04T10:56:57.863+01:00, 0.912E-02,  16.72660, 0.14321E+03
    2200,2026-02-04T10:57:04.987+01:00, 0.817E-02,  17.60478, 0.15028E+03
    2300,2026-02-04T10:57:12.077+01:00, 0.897E-02,  18.47590, 0.15734E+03
    2400,2026-02-04T10:57:19.414+01:00, 0.944E-02,  19.36143, 0.16460E+03
    2500,2026-02-04T10:57:26.849+01:00, 0.707E-02,  20.22756, 0.17195E+03
    2600,2026-02-04T10:57:34.606+01:00, 0.902E-02,  21.07654, 0.17959E+03
    2700,2026-02-04T10:57:41.212+01:00, 0.972E-02,  21.99428, 0.18620E+03
    2800,2026-02-04T10:57:47.723+01:00, 0.903E-02,  22.92971, 0.19270E+03
    2900,2026-02-04T10:57:54.272+01:00, 0.900E-02,  23.81673, 0.19924E+03
    3000,2026-02-04T10:58:00.767+01:00, 0.104E-01,  24.72467, 0.20573E+03
    3100,2026-02-04T10:58:07.420+01:00, 0.962E-02,  25.72064, 0.21237E+03
    3200,2026-02-04T10:58:13.898+01:00, 0.894E-02,  26.64856, 0.21884E+03
    3300,2026-02-04T10:58:20.330+01:00, 0.961E-02,  27.56290, 0.22527E+03
    3400,2026-02-04T10:58:26.745+01:00, 0.105E-01,  28.50777, 0.23168E+03
    3500,2026-02-04T10:58:33.199+01:00, 0.104E-01,  29.43513, 0.23813E+03
    3600,2026-02-04T10:58:39.667+01:00, 0.871E-02,  30.37112, 0.24460E+03
    3700,2026-02-04T10:58:46.207+01:00, 0.929E-02,  31.27677, 0.25112E+03
    3800,2026-02-04T10:58:52.783+01:00, 0.880E-02,  32.17541, 0.25770E+03
    3900,2026-02-04T10:58:59.139+01:00, 0.874E-02,  33.11246, 0.26405E+03
    4000,2026-02-04T10:59:05.483+01:00, 0.103E-01,  34.09576, 0.27039E+03
    4100,2026-02-04T10:59:11.907+01:00, 0.944E-02,  35.13644, 0.27681E+03
    4200,2026-02-04T10:59:18.269+01:00, 0.111E-01,  36.09474, 0.28317E+03
    4300,2026-02-04T10:59:24.620+01:00, 0.996E-02,  37.07982, 0.28951E+03
    4400,2026-02-04T10:59:31.073+01:00, 0.112E-01,  38.12060, 0.29596E+03
    4500,2026-02-04T10:59:37.601+01:00, 0.103E-01,  39.12005, 0.30249E+03
    4600,2026-02-04T10:59:44.198+01:00, 0.929E-02,  40.12512, 0.30907E+03
    4700,2026-02-04T10:59:50.857+01:00, 0.978E-02,  41.11790, 0.31573E+03
    4800,2026-02-04T10:59:57.707+01:00, 0.107E-01,  42.12732, 0.32257E+03
    4900,2026-02-04T11:00:04.411+01:00, 0.994E-02,  43.10470, 0.32927E+03
    5000,2026-02-04T11:00:10.910+01:00, 0.106E-01,  44.14392, 0.33577E+03
    5100,2026-02-04T11:00:17.539+01:00, 0.877E-02,  45.14937, 0.34239E+03
    5200,2026-02-04T11:00:24.228+01:00, 0.122E-01,  46.15321, 0.34907E+03
    5300,2026-02-04T11:00:30.924+01:00, 0.122E-01,  47.21365, 0.35575E+03
    5400,2026-02-04T11:00:37.505+01:00, 0.104E-01,  48.29763, 0.36233E+03
    5500,2026-02-04T11:00:44.177+01:00, 0.114E-01,  49.40489, 0.36900E+03
    5600,2026-02-04T11:00:50.889+01:00, 0.991E-02,  50.46699, 0.37571E+03
    5700,2026-02-04T11:00:57.534+01:00, 0.108E-01,  51.46031, 0.38235E+03
    5800,2026-02-04T11:01:04.251+01:00, 0.105E-01,  52.47783, 0.38906E+03
    5900,2026-02-04T11:01:10.996+01:00, 0.103E-01,  53.58027, 0.39580E+03
    6000,2026-02-04T11:01:17.500+01:00, 0.121E-01,  54.63174, 0.40230E+03
    6100,2026-02-04T11:01:24.159+01:00, 0.103E-01,  55.67907, 0.40894E+03
    6200,2026-02-04T11:01:30.738+01:00, 0.115E-01,  56.78693, 0.41552E+03
    6300,2026-02-04T11:01:37.379+01:00, 0.103E-01,  57.89530, 0.42215E+03
    6400,2026-02-04T11:01:43.987+01:00, 0.116E-01,  59.03217, 0.42876E+03
    6500,2026-02-04T11:01:50.565+01:00, 0.120E-01,  60.13088, 0.43532E+03
    6600,2026-02-04T11:01:57.214+01:00, 0.112E-01,  61.31656, 0.44197E+03
    6700,2026-02-04T11:02:03.853+01:00, 0.112E-01,  62.31483, 0.44860E+03
    6800,2026-02-04T11:02:10.513+01:00, 0.112E-01,  63.48161, 0.45526E+03
    6900,2026-02-04T11:02:17.096+01:00, 0.102E-01,  64.57653, 0.46184E+03
    7000,2026-02-04T11:02:23.816+01:00, 0.106E-01,  65.67879, 0.46855E+03
    7100,2026-02-04T11:02:30.438+01:00, 0.105E-01,  66.80543, 0.47517E+03
    7200,2026-02-04T11:02:37.073+01:00, 0.121E-01,  68.00562, 0.48180E+03
    7300,2026-02-04T11:02:43.703+01:00, 0.103E-01,  69.12957, 0.48843E+03
    7400,2026-02-04T11:02:50.386+01:00, 0.114E-01,  70.32155, 0.49510E+03
    7500,2026-02-04T11:02:57.017+01:00, 0.106E-01,  71.44717, 0.50173E+03
    7600,2026-02-04T11:03:03.641+01:00, 0.112E-01,  72.60119, 0.50835E+03
    7700,2026-02-04T11:03:10.255+01:00, 0.125E-01,  73.77705, 0.51496E+03
    7800,2026-02-04T11:03:16.917+01:00, 0.110E-01,  74.95993, 0.52162E+03
    7900,2026-02-04T11:03:23.594+01:00, 0.123E-01,  76.22122, 0.52829E+03
    8000,2026-02-04T11:03:30.282+01:00, 0.125E-01,  77.41118, 0.53497E+03
    8100,2026-02-04T11:03:37.159+01:00, 0.116E-01,  78.70783, 0.54184E+03
    8200,2026-02-04T11:03:44.325+01:00, 0.120E-01,  79.82431, 0.54897E+03
    8300,2026-02-04T11:03:51.437+01:00, 0.128E-01,  81.03685, 0.55600E+03
    8400,2026-02-04T11:03:58.430+01:00, 0.114E-01,  82.26419, 0.56298E+03
    8500,2026-02-04T11:04:05.356+01:00, 0.118E-01,  83.51957, 0.56989E+03
    8600,2026-02-04T11:04:12.269+01:00, 0.986E-02,  84.70476, 0.57679E+03
    8700,2026-02-04T11:04:19.215+01:00, 0.897E-02,  85.87417, 0.58373E+03
    8800,2026-02-04T11:04:26.162+01:00, 0.125E-01,  87.03256, 0.59066E+03
    8900,2026-02-04T11:04:32.987+01:00, 0.130E-01,  88.27010, 0.59748E+03
    9000,2026-02-04T11:04:39.861+01:00, 0.133E-01,  89.64696, 0.60435E+03
    9100,2026-02-04T11:04:46.735+01:00, 0.135E-01,  91.05316, 0.61122E+03
    9200,2026-02-04T11:04:53.435+01:00, 0.127E-01,  92.41649, 0.61791E+03
    9300,2026-02-04T11:05:00.157+01:00, 0.112E-01,  93.56442, 0.62463E+03
    9400,2026-02-04T11:05:06.879+01:00, 0.140E-01,  94.86362, 0.63135E+03
    9500,2026-02-04T11:05:13.620+01:00, 0.128E-01,  96.11439, 0.63808E+03
    9600,2026-02-04T11:05:20.333+01:00, 0.121E-01,  97.49035, 0.64479E+03
    9700,2026-02-04T11:05:27.038+01:00, 0.136E-01,  98.75238, 0.65149E+03
    9800,2026-02-04T11:05:33.722+01:00, 0.118E-01, 100.07450, 0.65817E+03
    9900,2026-02-04T11:05:40.416+01:00, 0.122E-01, 101.35174, 0.66486E+03
   10000,2026-02-04T11:05:47.122+01:00, 0.117E-01, 102.50819, 0.67156E+03
   10100,2026-02-04T11:05:53.866+01:00, 0.137E-01, 103.74152, 0.67829E+03
   10200,2026-02-04T11:06:00.600+01:00, 0.114E-01, 104.95358, 0.68503E+03
   10300,2026-02-04T11:06:07.459+01:00, 0.122E-01, 106.07726, 0.69188E+03
   10400,2026-02-04T11:06:14.228+01:00, 0.130E-01, 107.51661, 0.69865E+03
   10500,2026-02-04T11:06:21.029+01:00, 0.186E-01, 108.96561, 0.70544E+03
   10600,2026-02-04T11:06:27.880+01:00, 0.149E-01, 110.62627, 0.71229E+03
   10700,2026-02-04T11:06:34.629+01:00, 0.177E-01, 112.26937, 0.71903E+03
   10800,2026-02-04T11:06:41.525+01:00, 0.233E-01, 114.26859, 0.72592E+03
   10900,2026-02-04T11:06:48.407+01:00, 0.520E-01, 117.82583, 0.73280E+03
   10943,2026-02-04T11:06:51.427+01:00, 0.526E-01, 120.00000, 0.73582E+03
