s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 3.5071223E+001, 0.0000000E+000,-2.8176075E-005,-2.3169368E-002,-1.3802072E-005,-1.2565795E-003, 7.1296870E+000, 0.0000000E+000, 1.0230958E-001, 4.2176442E+001, 0.0000000E+000, 2.9669226E-003, 0.0000000E+000, 2.6413818E-001
 2.4220930E-001, 1.1518940E+002, 0.0000000E+000,-5.2407011E-001,-2.7883031E-002,-1.0802244E-001,-1.0338093E-002, 3.5406790E+001, 0.0000000E+000, 9.6234728E+001, 1.4992588E+002, 0.0000000E+000, 4.6077590E-003, 0.0000000E+000, 3.5731256E+001
 3.6525130E-001, 1.3627838E+002, 0.0000000E+000,-6.7630159E+001,-3.9751435E-002,-9.8195962E-001,-1.0780935E-002, 3.0132410E+001, 0.0000000E+000, 1.4262834E+002, 9.7748135E+001, 0.0000000E+000, 6.0712241E-003, 0.0000000E+000, 2.0251136E+002
 4.9879357E-001, 7.0806545E+001, 0.0000000E+000,-3.9738328E+001,-5.5855875E-002,-1.2565276E+000,-1.3119349E-002, 7.8204661E+000, 0.0000000E+000, 2.2699708E+001, 3.7563180E+001, 0.0000000E+000, 8.2470398E-003, 0.0000000E+000, 2.3160804E+002
 6.1705309E-001, 1.2657849E+002, 0.0000000E+000,-5.7174246E+001,-7.1541893E-002,-1.3792780E+000,-1.4312106E-002, 2.0876218E+001, 0.0000000E+000, 7.3341121E+001, 8.8815332E+001, 0.0000000E+000, 1.0031579E-002, 0.0000000E+000, 3.1094134E+002
 7.2379088E-001, 2.2388975E+002, 0.0000000E+000,-1.0596686E+002,-7.9069480E-002,-1.7930576E+000,-1.8194909E-002, 3.9591182E+001, 0.0000000E+000, 1.4698343E+002, 1.5562375E+002, 0.0000000E+000, 1.1459563E-002, 0.0000000E+000, 4.5874556E+002
 8.4593225E-001, 3.3708173E+002, 0.0000000E+000,-1.5077382E+002,-8.4532378E-002,-2.4272164E+000,-2.0330298E-002, 6.4044205E+001, 0.0000000E+000, 2.3420829E+002, 2.4782004E+002, 0.0000000E+000, 1.2778885E-002, 0.0000000E+000, 7.3308806E+002
 9.6986657E-001, 5.0121562E+002, 0.0000000E+000,-2.1083201E+002,-9.4591130E-002,-3.5603896E+000,-1.9812185E-002, 1.0131768E+002, 0.0000000E+000, 3.7909337E+002, 3.8802649E+002, 0.0000000E+000, 1.4010756E-002, 0.0000000E+000, 1.1818402E+003
 1.0826104E+000, 6.0628819E+002, 0.0000000E+000,-2.4662780E+002,-1.0309744E-001,-5.0952944E+000,-1.9036147E-002, 1.2908946E+002, 0.0000000E+000, 4.7567605E+002, 4.8353242E+002, 0.0000000E+000, 1.5008208E-002, 0.0000000E+000, 1.7038265E+003
 1.2010447E+000, 5.8471767E+002, 0.0000000E+000,-2.1409045E+002,-1.0958847E-001,-6.9021560E+000,-2.1513368E-002, 1.3592651E+002, 0.0000000E+000, 4.9758181E+002, 4.9952048E+002, 0.0000000E+000, 1.5826499E-002, 0.0000000E+000, 2.2852713E+003
 1.3221998E+000, 5.6415004E+002, 0.0000000E+000,-1.9975062E+002,-1.1349864E-001,-9.4561064E+000,-2.3700888E-002, 1.3105688E+002, 0.0000000E+000, 4.8834748E+002, 4.8586299E+002, 0.0000000E+000, 1.6529281E-002, 0.0000000E+000, 2.8616353E+003
 1.4419878E+000, 5.7351476E+002, 0.0000000E+000,-1.8253527E+002,-1.2519688E-001,-1.2015991E+001,-2.4495582E-002, 1.3977262E+002, 0.0000000E+000, 5.0943742E+002, 5.1858643E+002, 0.0000000E+000, 1.7105429E-002, 0.0000000E+000, 3.4619852E+003
 1.5640001E+000, 7.0526010E+002, 0.0000000E+000,-2.0499671E+002,-1.1576227E-001,-1.5727572E+001,-2.3089236E-002, 1.8566350E+002, 0.0000000E+000, 6.6973274E+002, 6.7006047E+002, 0.0000000E+000, 1.7573200E-002, 0.0000000E+000, 4.2799877E+003
 1.6844180E+000, 6.7071576E+002, 0.0000000E+000,-1.8890492E+002,-1.2391258E-001,-2.2010624E+001,-2.3879121E-002, 1.7728130E+002, 0.0000000E+000, 6.3929362E+002, 6.3693373E+002, 0.0000000E+000, 1.7950132E-002, 0.0000000E+000, 5.0553021E+003
