,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T11:42:27.172+01:00, 0.103E+00,   0.10306, 0.22916E+01
       2,2026-02-04T11:42:27.243+01:00, 0.103E+00,   0.20613, 0.23623E+01
       3,2026-02-04T11:42:27.346+01:00, 0.262E-01,   0.23231, 0.24646E+01
       4,2026-02-04T11:42:27.414+01:00, 0.288E-01,   0.26110, 0.25327E+01
       5,2026-02-04T11:42:27.478+01:00, 0.317E-01,   0.29278, 0.25963E+01
       6,2026-02-04T11:42:27.559+01:00, 0.348E-01,   0.32763, 0.26771E+01
       7,2026-02-04T11:42:27.625+01:00, 0.383E-01,   0.36596, 0.27435E+01
       8,2026-02-04T11:42:27.688+01:00, 0.422E-01,   0.40812, 0.28059E+01
       9,2026-02-04T11:42:27.766+01:00, 0.464E-01,   0.45450, 0.28836E+01
      10,2026-02-04T11:42:27.831+01:00, 0.510E-01,   0.50551, 0.29487E+01
      20,2026-02-04T11:42:28.578+01:00, 0.156E-01,   0.74254, 0.36939E+01
      30,2026-02-04T11:42:29.234+01:00, 0.140E-01,   0.88590, 0.43493E+01
      40,2026-02-04T11:42:29.932+01:00, 0.921E-02,   1.00483, 0.50421E+01
      50,2026-02-04T11:42:30.608+01:00, 0.880E-02,   1.09887, 0.57174E+01
      60,2026-02-04T11:42:31.290+01:00, 0.851E-02,   1.18923, 0.63981E+01
      70,2026-02-04T11:42:31.944+01:00, 0.773E-02,   1.27307, 0.70518E+01
      80,2026-02-04T11:42:32.644+01:00, 0.872E-02,   1.35246, 0.77458E+01
      90,2026-02-04T11:42:33.370+01:00, 0.779E-02,   1.43405, 0.84701E+01
     100,2026-02-04T11:42:34.033+01:00, 0.779E-02,   1.51193, 0.91324E+01
     200,2026-02-04T11:42:40.635+01:00, 0.689E-02,   2.21069, 0.15732E+02
     300,2026-02-04T11:42:47.082+01:00, 0.732E-02,   2.87867, 0.22169E+02
     400,2026-02-04T11:42:53.593+01:00, 0.602E-02,   3.55486, 0.28677E+02
     500,2026-02-04T11:43:00.441+01:00, 0.573E-02,   4.23192, 0.35510E+02
     600,2026-02-04T11:43:07.133+01:00, 0.644E-02,   4.91216, 0.42201E+02
     700,2026-02-04T11:43:13.912+01:00, 0.683E-02,   5.61710, 0.48967E+02
     800,2026-02-04T11:43:20.510+01:00, 0.683E-02,   6.36580, 0.55559E+02
     900,2026-02-04T11:43:27.073+01:00, 0.810E-02,   7.09534, 0.62120E+02
    1000,2026-02-04T11:43:33.691+01:00, 0.789E-02,   7.91669, 0.68732E+02
    1100,2026-02-04T11:43:40.317+01:00, 0.843E-02,   8.69614, 0.75350E+02
    1200,2026-02-04T11:43:46.855+01:00, 0.760E-02,   9.51046, 0.81887E+02
    1300,2026-02-04T11:43:53.485+01:00, 0.826E-02,  10.33981, 0.88509E+02
    1400,2026-02-04T11:44:00.037+01:00, 0.680E-02,  11.21492, 0.95054E+02
    1500,2026-02-04T11:44:06.511+01:00, 0.989E-02,  12.08859, 0.10153E+03
    1600,2026-02-04T11:44:13.371+01:00, 0.857E-02,  13.01037, 0.10835E+03
    1700,2026-02-04T11:44:20.010+01:00, 0.797E-02,  13.87529, 0.11499E+03
    1800,2026-02-04T11:44:26.566+01:00, 0.930E-02,  14.72572, 0.12154E+03
    1900,2026-02-04T11:44:33.092+01:00, 0.925E-02,  15.64949, 0.12806E+03
    2000,2026-02-04T11:44:39.610+01:00, 0.831E-02,  16.60621, 0.13458E+03
    2100,2026-02-04T11:44:46.277+01:00, 0.911E-02,  17.54725, 0.14122E+03
    2200,2026-02-04T11:44:52.742+01:00, 0.964E-02,  18.50292, 0.14769E+03
    2300,2026-02-04T11:44:59.399+01:00, 0.983E-02,  19.47365, 0.15434E+03
