,,s,s,s
    2800,2026-02-04T10:01:55.532+01:00, 0.988E-02,  22.87508, 0.18834E+03
    2900,2026-02-04T10:02:02.845+01:00, 0.896E-02,  23.75620, 0.19563E+03
    3000,2026-02-04T10:02:10.287+01:00, 0.916E-02,  24.63789, 0.20302E+03
    3100,2026-02-04T10:02:17.669+01:00, 0.826E-02,  25.52127, 0.21036E+03
    3200,2026-02-04T10:02:25.078+01:00, 0.922E-02,  26.47534, 0.21773E+03
    3300,2026-02-04T10:02:32.653+01:00, 0.108E-01,  27.41743, 0.22529E+03
    3400,2026-02-04T10:02:39.904+01:00, 0.101E-01,  28.35638, 0.23253E+03
    3500,2026-02-04T10:02:46.741+01:00, 0.925E-02,  29.31332, 0.23935E+03
    3600,2026-02-04T10:02:53.695+01:00, 0.840E-02,  30.19979, 0.24630E+03
    3700,2026-02-04T10:03:00.548+01:00, 0.897E-02,  31.13771, 0.25315E+03
    3800,2026-02-04T10:03:07.405+01:00, 0.102E-01,  32.08333, 0.26000E+03
    3900,2026-02-04T10:03:14.226+01:00, 0.848E-02,  32.99344, 0.26682E+03
    4000,2026-02-04T10:03:21.063+01:00, 0.956E-02,  33.96903, 0.27365E+03
    4100,2026-02-04T10:03:27.832+01:00, 0.929E-02,  34.92870, 0.28041E+03
    4200,2026-02-04T10:03:34.737+01:00, 0.101E-01,  35.85565, 0.28732E+03
    4300,2026-02-04T10:03:41.521+01:00, 0.839E-02,  36.73377, 0.29409E+03
    4400,2026-02-04T10:03:48.296+01:00, 0.103E-01,  37.66295, 0.30086E+03
    4500,2026-02-04T10:03:55.622+01:00, 0.960E-02,  38.55254, 0.30773E+03
    4600,2026-02-04T10:04:02.445+01:00, 0.798E-02,  39.52055, 0.31455E+03
    4700,2026-02-04T10:04:10.167+01:00, 0.907E-02,  40.45484, 0.32226E+03
    4800,2026-02-04T10:04:20.039+01:00, 0.100E-01,  41.40976, 0.33212E+03
    4900,2026-02-04T10:04:38.988+01:00, 0.107E-01,  42.37306, 0.35054E+03
    5000,2026-02-04T10:04:55.005+01:00, 0.888E-02,  43.27615, 0.36648E+03
    5100,2026-02-04T10:05:06.646+01:00, 0.972E-02,  44.23299, 0.37810E+03
    5200,2026-02-04T10:05:16.096+01:00, 0.914E-02,  45.18942, 0.38753E+03
    5300,2026-02-04T10:05:25.932+01:00, 0.110E-01,  46.18696, 0.39735E+03
    5400,2026-02-04T10:05:36.088+01:00, 0.115E-01,  47.17873, 0.40750E+03
    5500,2026-02-04T10:05:45.832+01:00, 0.105E-01,  48.13269, 0.41723E+03
    5600,2026-02-04T10:05:56.134+01:00, 0.870E-02,  49.11834, 0.42753E+03
    5700,2026-02-04T10:06:06.920+01:00, 0.732E-02,  50.07187, 0.43831E+03
    5800,2026-02-04T10:06:17.953+01:00, 0.108E-01,  50.96893, 0.44931E+03
    5900,2026-02-04T10:06:28.569+01:00, 0.918E-02,  51.96418, 0.45991E+03
    6000,2026-02-04T10:06:39.975+01:00, 0.926E-02,  52.93878, 0.47129E+03
    6100,2026-02-04T10:06:51.346+01:00, 0.769E-02,  53.86156, 0.48265E+03
    6200,2026-02-04T10:07:03.250+01:00, 0.983E-02,  54.84612, 0.49452E+03
    6300,2026-02-04T10:07:14.052+01:00, 0.109E-01,  55.81767, 0.50532E+03
    6400,2026-02-04T10:07:24.135+01:00, 0.100E-01,  56.84395, 0.51538E+03
    6500,2026-02-04T10:07:35.014+01:00, 0.103E-01,  57.85088, 0.52624E+03
    6600,2026-02-04T10:07:45.381+01:00, 0.997E-02,  58.88825, 0.53658E+03
    6700,2026-02-04T10:07:56.118+01:00, 0.119E-01,  59.95261, 0.54730E+03
    6800,2026-02-04T10:08:04.090+01:00, 0.996E-02,  60.92998, 0.55527E+03
    6900,2026-02-04T10:08:11.614+01:00, 0.941E-02,  61.94565, 0.56278E+03
    7000,2026-02-04T10:08:19.114+01:00, 0.104E-01,  62.91551, 0.57028E+03
    7100,2026-02-04T10:08:26.214+01:00, 0.107E-01,  63.93524, 0.57737E+03
    7200,2026-02-04T10:08:33.396+01:00, 0.102E-01,  64.90832, 0.58454E+03
    7300,2026-02-04T10:08:40.675+01:00, 0.107E-01,  65.89908, 0.59181E+03
    7400,2026-02-04T10:08:48.135+01:00, 0.104E-01,  66.92798, 0.59925E+03
    7500,2026-02-04T10:08:55.694+01:00, 0.981E-02,  67.86796, 0.60679E+03
    7600,2026-02-04T10:09:02.870+01:00, 0.107E-01,  68.88682, 0.61396E+03
    7700,2026-02-04T10:09:09.995+01:00, 0.962E-02,  69.91580, 0.62107E+03
    7800,2026-02-04T10:09:17.564+01:00, 0.697E-02,  70.88726, 0.62858E+03
    7900,2026-02-04T10:09:24.714+01:00, 0.102E-01,  71.89724, 0.63571E+03
    8000,2026-02-04T10:09:31.828+01:00, 0.102E-01,  72.98796, 0.64282E+03
    8100,2026-02-04T10:09:40.565+01:00, 0.958E-02,  74.03667, 0.65138E+03
    8200,2026-02-04T10:09:48.167+01:00, 0.906E-02,  75.03837, 0.65897E+03
    8300,2026-02-04T10:09:55.372+01:00, 0.115E-01,  76.12687, 0.66616E+03
    8400,2026-02-04T10:10:02.588+01:00, 0.110E-01,  77.20457, 0.67337E+03
    8500,2026-02-04T10:10:09.901+01:00, 0.967E-02,  78.26428, 0.68069E+03
    8600,2026-02-04T10:10:17.168+01:00, 0.115E-01,  79.25171, 0.68794E+03
    8700,2026-02-04T10:10:24.471+01:00, 0.915E-02,  80.27361, 0.69523E+03
    8800,2026-02-04T10:10:31.678+01:00, 0.103E-01,  81.30249, 0.70243E+03
    8900,2026-02-04T10:10:38.898+01:00, 0.121E-01,  82.35798, 0.70965E+03
    9000,2026-02-04T10:10:46.134+01:00, 0.122E-01,  83.49283, 0.71688E+03
    9100,2026-02-04T10:10:53.367+01:00, 0.103E-01,  84.57131, 0.72411E+03
    9200,2026-02-04T10:11:00.664+01:00, 0.122E-01,  85.63586, 0.73140E+03
    9300,2026-02-04T10:11:08.098+01:00, 0.973E-02,  86.73020, 0.73870E+03
    9400,2026-02-04T10:11:15.309+01:00, 0.128E-01,  87.85768, 0.74590E+03
    9500,2026-02-04T10:11:22.526+01:00, 0.108E-01,  88.92164, 0.75312E+03
    9600,2026-02-04T10:11:29.679+01:00, 0.896E-02,  89.99385, 0.76026E+03
    9700,2026-02-04T10:11:36.849+01:00, 0.102E-01,  91.05256, 0.76742E+03
    9800,2026-02-04T10:11:44.130+01:00, 0.111E-01,  92.08555, 0.77469E+03
    9900,2026-02-04T10:11:51.751+01:00, 0.114E-01,  93.22655, 0.78229E+03
   10000,2026-02-04T10:11:59.245+01:00, 0.111E-01,  94.36538, 0.78974E+03
   10100,2026-02-04T10:12:07.033+01:00, 0.106E-01,  95.46296, 0.79748E+03
   10200,2026-02-04T10:12:14.655+01:00, 0.122E-01,  96.56283, 0.80508E+03
   10300,2026-02-04T10:12:22.089+01:00, 0.131E-01,  97.67132, 0.81249E+03
   10400,2026-02-04T10:12:30.051+01:00, 0.118E-01,  98.80776, 0.82039E+03
   10500,2026-02-04T10:12:38.332+01:00, 0.109E-01,  99.93491, 0.82860E+03
   10600,2026-02-04T10:12:46.247+01:00, 0.120E-01, 101.02244, 0.83644E+03
   10700,2026-02-04T10:12:55.225+01:00, 0.123E-01, 102.25418, 0.84527E+03
   10800,2026-02-04T10:13:02.817+01:00, 0.117E-01, 103.40693, 0.85283E+03
   10900,2026-02-04T10:13:10.828+01:00, 0.115E-01, 104.54955, 0.86081E+03
   11000,2026-02-04T10:13:19.117+01:00, 0.122E-01, 105.74561, 0.86905E+03
   11100,2026-02-04T10:13:27.505+01:00, 0.695E-02, 106.81520, 0.87740E+03
   11200,2026-02-04T10:13:35.580+01:00, 0.130E-01, 107.94339, 0.88538E+03
   11300,2026-02-04T10:13:43.207+01:00, 0.117E-01, 109.07763, 0.89300E+03
   11400,2026-02-04T10:13:51.099+01:00, 0.118E-01, 110.22174, 0.90088E+03
   11500,2026-02-04T10:13:58.803+01:00, 0.121E-01, 111.41083, 0.90857E+03
   11600,2026-02-04T10:14:06.297+01:00, 0.121E-01, 112.62062, 0.91606E+03
   11700,2026-02-04T10:14:14.016+01:00, 0.124E-01, 113.88905, 0.92376E+03
   11800,2026-02-04T10:14:21.249+01:00, 0.116E-01, 115.10431, 0.93096E+03
   11900,2026-02-04T10:14:27.974+01:00, 0.120E-01, 116.26388, 0.93768E+03
   12000,2026-02-04T10:14:34.802+01:00, 0.122E-01, 117.40134, 0.94450E+03
   12100,2026-02-04T10:14:41.589+01:00, 0.138E-01, 118.62534, 0.95128E+03
   12200,2026-02-04T10:14:48.377+01:00, 0.107E-01, 119.92657, 0.95806E+03
   12207,2026-02-04T10:14:48.870+01:00, 0.932E-02, 120.00000, 0.95855E+03
