s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 2.8196898E+001, 0.0000000E+000,-2.3440041E-005,-1.8455899E-002,-1.0951391E-005,-1.1822531E-003, 5.7485099E+000, 0.0000000E+000, 8.2256692E-002, 3.3925735E+001, 0.0000000E+000, 2.3853205E-003, 0.0000000E+000, 9.6578769E-002
 2.4062559E-001, 9.1931668E+001, 0.0000000E+000,-3.4136940E-001,-2.1899515E-002,-8.0157318E-002,-8.6082072E-003, 2.8778498E+001, 0.0000000E+000, 7.8085088E+001, 1.2025813E+002, 0.0000000E+000, 3.6811967E-003, 0.0000000E+000, 2.7734040E+001
 4.0418527E-001, 1.1750690E+002, 0.0000000E+000,-5.5290467E+001,-3.2333477E-002,-9.4115371E-001,-1.0425697E-002, 2.3914211E+001, 0.0000000E+000, 1.0002447E+002, 8.5146731E+001, 0.0000000E+000, 5.1374633E-003, 0.0000000E+000, 1.8643231E+002
 4.9094611E-001, 7.3940980E+001, 0.0000000E+000,-5.1859970E+001,-4.6010675E-002,-1.2523483E+000,-1.1325358E-002, 7.5163777E+000, 0.0000000E+000, 3.1531130E+001, 2.8287704E+001, 0.0000000E+000, 6.8219185E-003, 0.0000000E+000, 2.1109561E+002
 6.1183435E-001, 1.1276999E+002, 0.0000000E+000,-4.9811963E+001,-5.4492573E-002,-1.3220090E+000,-1.2984156E-002, 1.8816692E+001, 0.0000000E+000, 6.4875969E+001, 8.0385236E+001, 0.0000000E+000, 7.9939535E-003, 0.0000000E+000, 2.8335030E+002
 7.2090846E-001, 2.0355424E+002, 0.0000000E+000,-9.6993515E+001,-6.1649751E-002,-1.7227037E+000,-1.5972940E-002, 3.5904940E+001, 0.0000000E+000, 1.3172096E+002, 1.4066534E+002, 0.0000000E+000, 9.1745570E-003, 0.0000000E+000, 4.1965624E+002
 8.4634888E-001, 2.9419390E+002, 0.0000000E+000,-1.3548731E+002,-6.5421227E-002,-2.3514203E+000,-1.8068778E-002, 5.5859577E+001, 0.0000000E+000, 2.0295452E+002, 2.1213126E+002, 0.0000000E+000, 1.0264432E-002, 0.0000000E+000, 6.6698703E+002
 9.6384084E-001, 4.3432499E+002, 0.0000000E+000,-1.8691365E+002,-7.4017636E-002,-3.4817705E+000,-1.7742672E-002, 8.7395421E+001, 0.0000000E+000, 3.2283466E+002, 3.3123323E+002, 0.0000000E+000, 1.1245620E-002, 0.0000000E+000, 1.0331800E+003
 1.0827670E+000, 4.9935854E+002, 0.0000000E+000,-2.0493224E+002,-8.2346142E-002,-4.9946117E+000,-1.7902594E-002, 1.0705089E+002, 0.0000000E+000, 3.9158416E+002, 3.9638233E+002, 0.0000000E+000, 1.2048846E-002, 0.0000000E+000, 1.4906156E+003
 1.2056681E+000, 4.8656234E+002, 0.0000000E+000,-1.8030742E+002,-8.3482102E-002,-6.9984285E+000,-1.9772835E-002, 1.1206656E+002, 0.0000000E+000, 4.1297495E+002, 4.1121979E+002, 0.0000000E+000, 1.2736961E-002, 0.0000000E+000, 1.9906390E+003
 1.3223885E+000, 4.3060517E+002, 0.0000000E+000,-1.5795104E+002,-9.1514799E-002,-9.2560538E+000,-2.0924945E-002, 1.0037810E+002, 0.0000000E+000, 3.6587341E+002, 3.6366374E+002, 0.0000000E+000, 1.3300000E-002, 0.0000000E+000, 2.4161462E+003
 1.4476666E+000, 4.9272077E+002, 0.0000000E+000,-1.4631268E+002,-9.6878056E-002,-1.1571705E+001,-2.2030957E-002, 1.2196228E+002, 0.0000000E+000, 4.4103913E+002, 4.5667976E+002, 0.0000000E+000, 1.3763362E-002, 0.0000000E+000, 2.9585890E+003
 1.5652694E+000, 5.2759139E+002, 0.0000000E+000,-1.7110576E+002,-9.5785069E-002,-1.6221605E+001,-2.1654268E-002, 1.3207951E+002, 0.0000000E+000, 4.8333655E+002, 4.7222609E+002, 0.0000000E+000, 1.4138461E-002, 0.0000000E+000, 3.5273878E+003
 1.6802068E+000, 4.9627721E+002, 0.0000000E+000,-1.3712335E+002,-8.7008034E-002,-2.0378625E+001,-2.1953421E-002, 1.2949414E+002, 0.0000000E+000, 4.6258451E+002, 4.6816042E+002, 0.0000000E+000, 1.4429784E-002, 0.0000000E+000, 4.0631790E+003
