,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T11:06:53.736+01:00, 0.103E+00,   0.10306, 0.22511E+01
       2,2026-02-04T11:06:53.807+01:00, 0.103E+00,   0.20613, 0.23215E+01
       3,2026-02-04T11:06:53.911+01:00, 0.361E-01,   0.24221, 0.24261E+01
       4,2026-02-04T11:06:53.976+01:00, 0.397E-01,   0.28190, 0.24904E+01
       5,2026-02-04T11:06:54.042+01:00, 0.397E-01,   0.32159, 0.25564E+01
       6,2026-02-04T11:06:54.129+01:00, 0.437E-01,   0.36525, 0.26431E+01
       7,2026-02-04T11:06:54.192+01:00, 0.480E-01,   0.41328, 0.27062E+01
       8,2026-02-04T11:06:54.256+01:00, 0.480E-01,   0.46130, 0.27702E+01
       9,2026-02-04T11:06:54.361+01:00, 0.375E-01,   0.49879, 0.28747E+01
      10,2026-02-04T11:06:54.423+01:00, 0.375E-01,   0.53628, 0.29362E+01
      20,2026-02-04T11:06:55.185+01:00, 0.151E-01,   0.73890, 0.36927E+01
      30,2026-02-04T11:06:55.906+01:00, 0.114E-01,   0.87076, 0.44073E+01
      40,2026-02-04T11:06:56.590+01:00, 0.101E-01,   0.98001, 0.50900E+01
      50,2026-02-04T11:06:57.298+01:00, 0.790E-02,   1.06682, 0.57939E+01
      60,2026-02-04T11:06:57.946+01:00, 0.790E-02,   1.14578, 0.64411E+01
      70,2026-02-04T11:06:58.582+01:00, 0.790E-02,   1.22473, 0.70767E+01
      80,2026-02-04T11:06:59.223+01:00, 0.707E-02,   1.29957, 0.77177E+01
      90,2026-02-04T11:06:59.907+01:00, 0.674E-02,   1.37458, 0.83962E+01
     100,2026-02-04T11:07:00.527+01:00, 0.674E-02,   1.44199, 0.90148E+01
     200,2026-02-04T11:07:06.825+01:00, 0.768E-02,   2.10772, 0.15305E+02
     300,2026-02-04T11:07:13.258+01:00, 0.677E-02,   2.80373, 0.21723E+02
     400,2026-02-04T11:07:19.907+01:00, 0.559E-02,   3.40824, 0.28365E+02
     500,2026-02-04T11:07:26.504+01:00, 0.671E-02,   4.08954, 0.34952E+02
     600,2026-02-04T11:07:33.543+01:00, 0.696E-02,   4.77244, 0.41943E+02
     700,2026-02-04T11:07:40.675+01:00, 0.619E-02,   5.50880, 0.49039E+02
     800,2026-02-04T11:07:47.369+01:00, 0.837E-02,   6.24244, 0.55719E+02
     900,2026-02-04T11:07:54.285+01:00, 0.739E-02,   6.95481, 0.62626E+02
    1000,2026-02-04T11:08:01.146+01:00, 0.685E-02,   7.71953, 0.69478E+02
    1100,2026-02-04T11:08:08.131+01:00, 0.782E-02,   8.51267, 0.76444E+02
    1200,2026-02-04T11:08:14.964+01:00, 0.807E-02,   9.30116, 0.83259E+02
    1300,2026-02-04T11:08:22.084+01:00, 0.725E-02,  10.05911, 0.90322E+02
    1400,2026-02-04T11:08:28.951+01:00, 0.752E-02,  10.82005, 0.97144E+02
    1500,2026-02-04T11:08:35.578+01:00, 0.957E-02,  11.59892, 0.10377E+03
    1600,2026-02-04T11:08:42.180+01:00, 0.842E-02,  12.45631, 0.11036E+03
    1700,2026-02-04T11:08:48.796+01:00, 0.802E-02,  13.30340, 0.11698E+03
    1800,2026-02-04T11:08:55.430+01:00, 0.708E-02,  14.15750, 0.12360E+03
    1900,2026-02-04T11:09:02.051+01:00, 0.741E-02,  15.01252, 0.13021E+03
    2000,2026-02-04T11:09:08.620+01:00, 0.901E-02,  15.90476, 0.13678E+03
    2100,2026-02-04T11:09:15.212+01:00, 0.772E-02,  16.83646, 0.14336E+03
    2200,2026-02-04T11:09:21.742+01:00, 0.973E-02,  17.72782, 0.14989E+03
    2300,2026-02-04T11:09:28.279+01:00, 0.796E-02,  18.57483, 0.15641E+03
    2400,2026-02-04T11:09:34.790+01:00, 0.100E-01,  19.47866, 0.16292E+03
    2500,2026-02-04T11:09:41.359+01:00, 0.831E-02,  20.43580, 0.16949E+03
    2600,2026-02-04T11:09:48.107+01:00, 0.744E-02,  21.29658, 0.17623E+03
    2700,2026-02-04T11:09:54.680+01:00, 0.954E-02,  22.17819, 0.18280E+03
    2800,2026-02-04T11:10:01.231+01:00, 0.989E-02,  23.12589, 0.18935E+03
    2900,2026-02-04T11:10:07.693+01:00, 0.939E-02,  24.11051, 0.19581E+03
    3000,2026-02-04T11:10:14.206+01:00, 0.103E-01,  25.06995, 0.20232E+03
    3100,2026-02-04T11:10:20.748+01:00, 0.968E-02,  26.03648, 0.20885E+03
    3200,2026-02-04T11:10:27.252+01:00, 0.895E-02,  26.95919, 0.21535E+03
    3300,2026-02-04T11:10:33.808+01:00, 0.979E-02,  27.86254, 0.22190E+03
    3400,2026-02-04T11:10:40.340+01:00, 0.964E-02,  28.80653, 0.22843E+03
    3500,2026-02-04T11:10:46.783+01:00, 0.107E-01,  29.75763, 0.23487E+03
    3600,2026-02-04T11:10:53.279+01:00, 0.110E-01,  30.74495, 0.24137E+03
    3700,2026-02-04T11:10:59.735+01:00, 0.107E-01,  31.70052, 0.24781E+03
    3800,2026-02-04T11:11:06.303+01:00, 0.840E-02,  32.68575, 0.25438E+03
    3900,2026-02-04T11:11:12.850+01:00, 0.935E-02,  33.63587, 0.26091E+03
    4000,2026-02-04T11:11:19.513+01:00, 0.108E-01,  34.67840, 0.26755E+03
    4100,2026-02-04T11:11:26.387+01:00, 0.921E-02,  35.64607, 0.27439E+03
    4200,2026-02-04T11:11:33.036+01:00, 0.829E-02,  36.61213, 0.28104E+03
    4300,2026-02-04T11:11:39.699+01:00, 0.865E-02,  37.60362, 0.28769E+03
    4400,2026-02-04T11:11:46.572+01:00, 0.975E-02,  38.62827, 0.29452E+03
    4500,2026-02-04T11:11:53.519+01:00, 0.102E-01,  39.66446, 0.30137E+03
    4600,2026-02-04T11:12:00.180+01:00, 0.112E-01,  40.68485, 0.30802E+03
    4700,2026-02-04T11:12:07.612+01:00, 0.906E-02,  41.68057, 0.31523E+03
    4800,2026-02-04T11:12:15.340+01:00, 0.106E-01,  42.71444, 0.32282E+03
    4900,2026-02-04T11:12:22.018+01:00, 0.104E-01,  43.82354, 0.32950E+03
    5000,2026-02-04T11:12:28.808+01:00, 0.118E-01,  44.93568, 0.33625E+03
    5100,2026-02-04T11:12:35.876+01:00, 0.105E-01,  45.94105, 0.34322E+03
    5200,2026-02-04T11:12:42.715+01:00, 0.821E-02,  46.86983, 0.35004E+03
    5300,2026-02-04T11:12:49.597+01:00, 0.111E-01,  47.85859, 0.35690E+03
    5400,2026-02-04T11:12:56.305+01:00, 0.984E-02,  48.89273, 0.36360E+03
    5500,2026-02-04T11:13:02.978+01:00, 0.106E-01,  49.99216, 0.37027E+03
    5600,2026-02-04T11:13:09.886+01:00, 0.959E-02,  51.08398, 0.37713E+03
    5700,2026-02-04T11:13:17.098+01:00, 0.818E-02,  52.03694, 0.38430E+03
    5800,2026-02-04T11:13:24.011+01:00, 0.807E-02,  53.04643, 0.39119E+03
    5900,2026-02-04T11:13:30.674+01:00, 0.120E-01,  54.17711, 0.39784E+03
    6000,2026-02-04T11:13:38.082+01:00, 0.112E-01,  55.33337, 0.40515E+03
    6100,2026-02-04T11:13:44.674+01:00, 0.117E-01,  56.45432, 0.41174E+03
    6200,2026-02-04T11:13:51.274+01:00, 0.117E-01,  57.65254, 0.41833E+03
    6300,2026-02-04T11:13:57.980+01:00, 0.126E-01,  58.85740, 0.42503E+03
    6400,2026-02-04T11:14:04.848+01:00, 0.951E-02,  60.03916, 0.43188E+03
    6500,2026-02-04T11:14:11.527+01:00, 0.113E-01,  61.14831, 0.43856E+03
    6600,2026-02-04T11:14:18.318+01:00, 0.107E-01,  62.27188, 0.44533E+03
    6700,2026-02-04T11:14:25.130+01:00, 0.126E-01,  63.42254, 0.45212E+03
    6800,2026-02-04T11:14:32.361+01:00, 0.106E-01,  64.56405, 0.45930E+03
    6900,2026-02-04T11:14:39.102+01:00, 0.125E-01,  65.76854, 0.46603E+03
    7000,2026-02-04T11:14:45.800+01:00, 0.119E-01,  67.01419, 0.47273E+03
    7100,2026-02-04T11:14:52.562+01:00, 0.132E-01,  68.18715, 0.47948E+03
    7200,2026-02-04T11:14:59.319+01:00, 0.132E-01,  69.43248, 0.48623E+03
    7300,2026-02-04T11:15:06.599+01:00, 0.111E-01,  70.64017, 0.49344E+03
    7400,2026-02-04T11:15:13.511+01:00, 0.110E-01,  71.85532, 0.50034E+03
    7500,2026-02-04T11:15:20.401+01:00, 0.995E-02,  72.96946, 0.50721E+03
    7600,2026-02-04T11:15:27.587+01:00, 0.132E-01,  74.18586, 0.51438E+03
    7700,2026-02-04T11:15:34.599+01:00, 0.127E-01,  75.41131, 0.52137E+03
    7800,2026-02-04T11:15:41.834+01:00, 0.110E-01,  76.63498, 0.52849E+03
    7900,2026-02-04T11:15:49.781+01:00, 0.122E-01,  77.86619, 0.53616E+03
    8000,2026-02-04T11:15:56.715+01:00, 0.112E-01,  79.03583, 0.54309E+03
    8100,2026-02-04T11:16:04.435+01:00, 0.993E-02,  80.33196, 0.55068E+03
    8200,2026-02-04T11:16:12.574+01:00, 0.971E-02,  81.35789, 0.55869E+03
    8300,2026-02-04T11:16:25.256+01:00, 0.129E-01,  82.58657, 0.57119E+03
    8400,2026-02-04T11:16:33.540+01:00, 0.138E-01,  83.90098, 0.57944E+03
    8500,2026-02-04T11:16:41.802+01:00, 0.153E-01,  85.23768, 0.58768E+03
    8600,2026-02-04T11:16:52.378+01:00, 0.101E-01,  86.46470, 0.59771E+03
    8700,2026-02-04T11:16:59.803+01:00, 0.116E-01,  87.64359, 0.60508E+03
    8800,2026-02-04T11:17:08.014+01:00, 0.124E-01,  88.93171, 0.61309E+03
    8900,2026-02-04T11:17:14.976+01:00, 0.160E-01,  90.30995, 0.62003E+03
    9000,2026-02-04T11:17:21.953+01:00, 0.167E-01,  91.82134, 0.62700E+03
    9100,2026-02-04T11:17:29.252+01:00, 0.132E-01,  93.20156, 0.63428E+03
    9200,2026-02-04T11:17:36.307+01:00, 0.102E-01,  94.45561, 0.64133E+03
