s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 2.1402171E+001, 0.0000000E+000,-1.8758684E-005,-1.3813273E-002,-8.1070788E-006,-1.0909414E-003, 4.3756179E+000, 0.0000000E+000, 6.2433575E-002, 2.5762858E+001, 0.0000000E+000, 1.8103777E-003, 0.0000000E+000,-6.9059425E-002
 3.0918992E-001, 8.9567263E+001, 0.0000000E+000,-1.4527958E+000,-2.4481383E-002,-1.6233824E-001,-4.9575221E-003, 2.3676099E+001, 0.0000000E+000, 5.5474494E+001, 1.1159879E+002, 0.0000000E+000, 3.5467199E-003, 0.0000000E+000, 5.8212928E+001
 3.7363911E-001, 1.3827521E+002, 0.0000000E+000,-3.2475947E+001,-2.3339698E-002,-7.7632190E-001,-9.7030947E-003, 3.8103092E+001, 0.0000000E+000, 1.4653331E+002, 1.4309299E+002, 0.0000000E+000, 4.0028460E-003, 0.0000000E+000, 1.4913448E+002
 4.9077934E-001, 1.2268384E+002, 0.0000000E+000,-8.2222321E+001,-3.1128157E-002,-1.2431991E+000,-1.0204268E-002, 1.5757540E+001, 0.0000000E+000, 6.5743160E+001, 5.4934527E+001, 0.0000000E+000, 4.9583881E-003, 0.0000000E+000, 2.2313997E+002
 6.1385787E-001, 1.3041795E+002, 0.0000000E+000,-7.2373571E+001,-4.1279122E-002,-1.4162059E+000,-1.1873472E-002, 1.9169097E+001, 0.0000000E+000, 6.8484723E+001, 7.5744122E+001, 0.0000000E+000, 6.0480245E-003, 0.0000000E+000, 3.0346032E+002
 7.2599965E-001, 1.9726555E+002, 0.0000000E+000,-1.0013491E+002,-4.6131945E-002,-1.7996128E+000,-1.3480589E-002, 3.4019905E+001, 0.0000000E+000, 1.2384957E+002, 1.2929132E+002, 0.0000000E+000, 6.9806370E-003, 0.0000000E+000, 4.3793404E+002
 8.4001577E-001, 2.5827583E+002, 0.0000000E+000,-1.0791990E+002,-5.0391673E-002,-2.3980814E+000,-1.4842832E-002, 5.2640545E+001, 0.0000000E+000, 1.8768634E+002, 2.0053316E+002, 0.0000000E+000, 7.7831035E-003, 0.0000000E+000, 6.4743770E+002
 9.6081471E-001, 3.3815627E+002, 0.0000000E+000,-1.4041987E+002,-5.4181017E-002,-3.5737217E+000,-1.5459568E-002, 7.2156901E+001, 0.0000000E+000, 2.6484704E+002, 2.6624994E+002, 0.0000000E+000, 8.5010184E-003, 0.0000000E+000, 9.6152379E+002
 1.0840863E+000, 3.5081386E+002, 0.0000000E+000,-1.2585330E+002,-5.9094362E-002,-4.9658339E+000,-1.7068398E-002, 8.2536383E+001, 0.0000000E+000, 2.9973472E+002, 3.0245494E+002, 0.0000000E+000, 9.1391992E-003, 0.0000000E+000, 1.3281308E+003
 1.2073716E+000, 3.3926752E+002, 0.0000000E+000,-1.2099263E+002,-5.9949613E-002,-6.9914733E+000,-1.9154300E-002, 8.0884806E+001, 0.0000000E+000, 2.9599595E+002, 2.9208912E+002, 0.0000000E+000, 9.6740968E-003, 0.0000000E+000, 1.6920269E+003
 1.3207834E+000, 3.3721307E+002, 0.0000000E+000,-1.1748439E+002,-6.3859227E-002,-9.2300714E+000,-2.0273783E-002, 7.8469515E+001, 0.0000000E+000, 2.8698997E+002, 2.8888399E+002, 0.0000000E+000, 1.0096107E-002, 0.0000000E+000, 2.0131165E+003
 1.4440686E+000, 4.2527277E+002, 0.0000000E+000,-1.2597013E+002,-6.2018527E-002,-1.1197686E+001,-2.0241213E-002, 1.0826113E+002, 0.0000000E+000, 3.9297714E+002, 3.9628382E+002, 0.0000000E+000, 1.0439059E-002, 0.0000000E+000, 2.4933488E+003
 1.5643331E+000, 3.6685061E+002, 0.0000000E+000,-1.1256695E+002,-7.3683659E-002,-1.4563424E+001,-2.0234317E-002, 9.2415236E+001, 0.0000000E+000, 3.3314294E+002, 3.3204156E+002, 0.0000000E+000, 1.0726348E-002, 0.0000000E+000, 2.8965271E+003
 1.6826614E+000, 4.2024280E+002, 0.0000000E+000,-1.1939053E+002,-7.2027587E-002,-1.8588567E+001,-2.0093307E-002, 1.0571874E+002, 0.0000000E+000, 3.8383684E+002, 3.8789033E+002, 0.0000000E+000, 1.0952732E-002, 0.0000000E+000, 3.3465616E+003
