,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T11:19:23.939+01:00, 0.103E+00,   0.10306, 0.23089E+01
       2,2026-02-04T11:19:24.009+01:00, 0.103E+00,   0.20613, 0.23785E+01
       3,2026-02-04T11:19:24.115+01:00, 0.352E-01,   0.24133, 0.24839E+01
       4,2026-02-04T11:19:24.181+01:00, 0.387E-01,   0.28004, 0.25496E+01
       5,2026-02-04T11:19:24.245+01:00, 0.387E-01,   0.31876, 0.26127E+01
       6,2026-02-04T11:19:24.332+01:00, 0.426E-01,   0.36135, 0.26995E+01
       7,2026-02-04T11:19:24.395+01:00, 0.469E-01,   0.40820, 0.27633E+01
       8,2026-02-04T11:19:24.460+01:00, 0.469E-01,   0.45505, 0.28272E+01
       9,2026-02-04T11:19:24.568+01:00, 0.374E-01,   0.49244, 0.29343E+01
      10,2026-02-04T11:19:24.629+01:00, 0.374E-01,   0.52982, 0.29958E+01
      20,2026-02-04T11:19:25.361+01:00, 0.148E-01,   0.72721, 0.37270E+01
      30,2026-02-04T11:19:26.050+01:00, 0.116E-01,   0.85851, 0.44152E+01
      40,2026-02-04T11:19:26.728+01:00, 0.104E-01,   0.96991, 0.50928E+01
      50,2026-02-04T11:19:27.403+01:00, 0.757E-02,   1.05503, 0.57666E+01
      60,2026-02-04T11:19:28.104+01:00, 0.833E-02,   1.13153, 0.64610E+01
      70,2026-02-04T11:19:28.773+01:00, 0.788E-02,   1.21068, 0.71294E+01
      80,2026-02-04T11:19:29.469+01:00, 0.788E-02,   1.28944, 0.78241E+01
      90,2026-02-04T11:19:30.219+01:00, 0.688E-02,   1.36420, 0.85745E+01
     100,2026-02-04T11:19:30.925+01:00, 0.688E-02,   1.43295, 0.92795E+01
     200,2026-02-04T11:19:37.473+01:00, 0.716E-02,   2.09832, 0.15821E+02
     300,2026-02-04T11:19:43.904+01:00, 0.801E-02,   2.82416, 0.22250E+02
     400,2026-02-04T11:19:50.542+01:00, 0.724E-02,   3.47795, 0.28884E+02
     500,2026-02-04T11:19:57.014+01:00, 0.672E-02,   4.19627, 0.35355E+02
     600,2026-02-04T11:20:04.295+01:00, 0.708E-02,   4.91939, 0.42499E+02
     700,2026-02-04T11:20:11.326+01:00, 0.680E-02,   5.65573, 0.49484E+02
     800,2026-02-04T11:20:17.978+01:00, 0.777E-02,   6.44689, 0.56121E+02
     900,2026-02-04T11:20:25.006+01:00, 0.735E-02,   7.19949, 0.63104E+02
    1000,2026-02-04T11:20:31.929+01:00, 0.683E-02,   7.95584, 0.69996E+02
    1100,2026-02-04T11:20:38.578+01:00, 0.842E-02,   8.74959, 0.76629E+02
    1200,2026-02-04T11:20:45.316+01:00, 0.806E-02,   9.52131, 0.83343E+02
    1300,2026-02-04T11:20:52.108+01:00, 0.777E-02,  10.27797, 0.90123E+02
    1400,2026-02-04T11:20:58.703+01:00, 0.775E-02,  11.10004, 0.96700E+02
    1500,2026-02-04T11:21:05.461+01:00, 0.813E-02,  11.89403, 0.10344E+03
    1600,2026-02-04T11:21:12.173+01:00, 0.879E-02,  12.73176, 0.11013E+03
