s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 2.1041342E+001, 0.0000000E+000,-1.8510084E-005,-1.3566938E-002,-7.9590854E-006,-1.0856083E-003, 4.3024951E+000, 0.0000000E+000, 6.1380842E-002, 2.5329158E+001, 0.0000000E+000, 1.7798445E-003, 0.0000000E+000,-7.7855841E-002
 3.0918992E-001, 8.8299964E+001, 0.0000000E+000,-1.4135003E+000,-2.3970916E-002,-1.6135904E-001,-5.0584897E-003, 2.3361006E+001, 0.0000000E+000, 5.4578365E+001, 1.1005708E+002, 0.0000000E+000, 3.4869021E-003, 0.0000000E+000, 5.7278479E+001
 3.7949103E-001, 1.3592429E+002, 0.0000000E+000,-3.5647444E+001,-2.3238390E-002,-7.9919692E-001,-9.5418557E-003, 3.6524029E+001, 0.0000000E+000, 1.4257264E+002, 1.3596890E+002, 0.0000000E+000, 3.9753036E-003, 0.0000000E+000, 1.5364791E+002
 5.0239724E-001, 1.2040530E+002, 0.0000000E+000,-8.2649086E+001,-3.1273038E-002,-1.2550008E+000,-1.0329308E-002, 1.4600027E+001, 0.0000000E+000, 6.0714956E+001, 5.1059641E+001, 0.0000000E+000, 4.9647048E-003, 0.0000000E+000, 2.2528092E+002
 6.0646403E-001, 1.2526190E+002, 0.0000000E+000,-7.0802658E+001,-4.0754184E-002,-1.4012368E+000,-1.1587625E-002, 1.7780243E+001, 0.0000000E+000, 6.2785642E+001, 7.0785909E+001, 0.0000000E+000, 5.9718176E-003, 0.0000000E+000, 2.8761853E+002
 7.2655642E-001, 1.8826394E+002, 0.0000000E+000,-9.4531118E+001,-4.5240308E-002,-1.7269791E+000,-1.3188193E-002, 3.2498286E+001, 0.0000000E+000, 1.1823719E+002, 1.2444570E+002, 0.0000000E+000, 6.8412386E-003, 0.0000000E+000, 4.2454988E+002
 8.4536254E-001, 2.5114493E+002, 0.0000000E+000,-1.0879636E+002,-4.8992882E-002,-2.3523103E+000,-1.4695756E-002, 5.0016255E+001, 0.0000000E+000, 1.7804938E+002, 1.8994883E+002, 0.0000000E+000, 7.6727036E-003, 0.0000000E+000, 6.3211690E+002
 9.6930075E-001, 3.2790437E+002, 0.0000000E+000,-1.3347854E+002,-5.4593181E-002,-3.4548721E+000,-1.5018729E-002, 7.1060056E+001, 0.0000000E+000, 2.6033403E+002, 2.6196140E+002, 0.0000000E+000, 8.3967038E-003, 0.0000000E+000, 9.4946854E+002
 1.0873047E+000, 3.5226290E+002, 0.0000000E+000,-1.2673749E+002,-5.8533848E-002,-4.8579120E+000,-1.6806257E-002, 8.2270265E+001, 0.0000000E+000, 2.9860688E+002, 3.0286243E+002, 0.0000000E+000, 9.0133382E-003, 0.0000000E+000, 1.2981597E+003
 1.2069300E+000, 3.3546262E+002, 0.0000000E+000,-1.2033176E+002,-5.9625020E-002,-6.7808991E+000,-1.8869257E-002, 7.9940599E+001, 0.0000000E+000, 2.9253730E+002, 2.8821207E+002, 0.0000000E+000, 9.5158947E-003, 0.0000000E+000, 1.6473896E+003
 1.3265554E+000, 3.3311518E+002, 0.0000000E+000,-1.1542883E+002,-6.3236584E-002,-9.0295291E+000,-1.9905490E-002, 7.7954673E+001, 0.0000000E+000, 2.8493075E+002, 2.8652835E+002, 0.0000000E+000, 9.9336394E-003, 0.0000000E+000, 1.9839989E+003
 1.4471002E+000, 4.1208793E+002, 0.0000000E+000,-1.2059818E+002,-6.3942162E-002,-1.0923312E+001,-1.9026667E-002, 1.0570819E+002, 0.0000000E+000, 3.7992451E+002, 3.8619166E+002, 0.0000000E+000, 1.0274244E-002, 0.0000000E+000, 2.4405646E+003
 1.5637573E+000, 3.5026779E+002, 0.0000000E+000,-1.0911768E+002,-7.3322355E-002,-1.3900069E+001,-1.9238192E-002, 8.8860944E+001, 0.0000000E+000, 3.2050088E+002, 3.1601843E+002, 0.0000000E+000, 1.0548397E-002, 0.0000000E+000, 2.8192032E+003
 1.6877470E+000, 3.5504323E+002, 0.0000000E+000,-1.0491110E+002,-7.0042498E-002,-1.7038052E+001,-1.8941589E-002, 8.7280420E+001, 0.0000000E+000, 3.1776055E+002, 3.2028552E+002, 0.0000000E+000, 1.0771818E-002, 0.0000000E+000, 3.2089706E+003
