s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 1.1526215E+001, 0.0000000E+000,-1.1954387E-005,-7.1360654E-003,-4.0524623E-006,-8.7614389E-004, 2.3662579E+000, 0.0000000E+000, 3.3617865E-002, 1.3884445E+001, 0.0000000E+000, 9.7463396E-004, 0.0000000E+000,-3.0983623E-001
 3.0918992E-001, 4.8852885E+001, 0.0000000E+000,-4.5257343E-001,-1.1665269E-002,-9.9850466E-002,-4.2047609E-003, 1.3813062E+001, 0.0000000E+000, 3.1696240E+001, 6.2097653E+001, 0.0000000E+000, 1.9094102E-003, 0.0000000E+000, 3.3325606E+001
 3.8289574E-001, 7.5825769E+001, 0.0000000E+000,-6.5906537E+000,-1.3776274E-002,-5.4699380E-001,-5.3812563E-003, 2.1331353E+001, 0.0000000E+000, 6.5065395E+001, 9.0000317E+001, 0.0000000E+000, 2.3268407E-003, 0.0000000E+000, 8.1226978E+001
 5.0791937E-001, 9.9430470E+001, 0.0000000E+000,-5.2659336E+001,-1.7090008E-002,-9.9178013E-001,-6.4608676E-003, 1.8488196E+001, 0.0000000E+000, 7.8461593E+001, 6.4244000E+001, 0.0000000E+000, 2.7704654E-003, 0.0000000E+000, 1.7530788E+002
 6.1241341E-001, 1.0203794E+002, 0.0000000E+000,-6.7180097E+001,-2.1404824E-002,-1.2396458E+000,-7.5104119E-003, 1.2062733E+001, 0.0000000E+000, 4.2806680E+001, 4.5652018E+001, 0.0000000E+000, 3.3182026E-003, 0.0000000E+000, 2.1924560E+002
 7.2907096E-001, 1.1057854E+002, 0.0000000E+000,-5.7352150E+001,-2.4930189E-002,-1.3695414E+000,-8.0766134E-003, 1.8573335E+001, 0.0000000E+000, 6.5648553E+001, 7.0397174E+001, 0.0000000E+000, 3.7769974E-003, 0.0000000E+000, 2.9430419E+002
 8.5222268E-001, 1.5030561E+002, 0.0000000E+000,-6.5542134E+001,-2.5671520E-002,-1.7570083E+000,-9.7360862E-003, 3.0249641E+001, 0.0000000E+000, 1.0750994E+002, 1.1322070E+002, 0.0000000E+000, 4.2222024E-003, 0.0000000E+000, 4.2512917E+002
 9.6770269E-001, 2.0151602E+002, 0.0000000E+000,-7.9235537E+001,-2.7687693E-002,-2.4927877E+000,-1.0445311E-002, 4.4876363E+001, 0.0000000E+000, 1.5917097E+002, 1.6462593E+002, 0.0000000E+000, 4.6097753E-003, 0.0000000E+000, 6.0892358E+002
 1.0884284E+000, 2.1669296E+002, 0.0000000E+000,-7.6012198E+001,-2.9824170E-002,-3.3376550E+000,-1.0807102E-002, 5.3435102E+001, 0.0000000E+000, 1.9130178E+002, 1.9073758E+002, 0.0000000E+000, 4.9361408E-003, 0.0000000E+000, 8.4265922E+002
 1.2011393E+000, 2.1727034E+002, 0.0000000E+000,-7.3026000E+001,-3.2026546E-002,-4.2036034E+000,-1.1207502E-002, 5.4232444E+001, 0.0000000E+000, 1.9333659E+002, 1.9422994E+002, 0.0000000E+000, 5.2080146E-003, 0.0000000E+000, 1.0634254E+003
 1.3245910E+000, 2.2208784E+002, 0.0000000E+000,-7.7653309E+001,-3.3250681E-002,-5.2488752E+000,-1.2016652E-002, 5.3234676E+001, 0.0000000E+000, 1.9221234E+002, 1.9237506E+002, 0.0000000E+000, 5.4336457E-003, 0.0000000E+000, 1.3013119E+003
 1.4460957E+000, 2.4511766E+002, 0.0000000E+000,-8.1637847E+001,-3.3098544E-002,-6.7136254E+000,-1.3328910E-002, 5.9376520E+001, 0.0000000E+000, 2.1433481E+002, 2.1609628E+002, 0.0000000E+000, 5.6248641E-003, 0.0000000E+000, 1.5611390E+003
 1.5663902E+000, 2.0920842E+002, 0.0000000E+000,-6.8855676E+001,-3.7829186E-002,-7.6568068E+000,-1.3264155E-002, 5.1709717E+001, 0.0000000E+000, 1.8517236E+002, 1.8435456E+002, 0.0000000E+000, 5.7769439E-003, 0.0000000E+000, 1.7868122E+003
 1.6844403E+000, 2.3453872E+002, 0.0000000E+000,-7.1658243E+001,-3.4289726E-002,-1.0230062E+001,-1.3496268E-002, 5.8196715E+001, 0.0000000E+000, 2.0967592E+002, 2.1079934E+002, 0.0000000E+000, 5.8987077E-003, 0.0000000E+000, 2.0344201E+003
