s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.4024756E+000, 7.2062945E+002, 0.0000000E+000,-2.1608876E+002,-1.2736684E-001,-5.0438351E+001,-2.6752961E-002, 1.7164428E+002, 0.0000000E+000, 6.3252620E+002, 6.2559250E+002, 0.0000000E+000, 1.9470615E-002, 0.0000000E+000, 9.2706452E+003
 2.5216458E+000, 7.5773161E+002, 0.0000000E+000,-2.1530809E+002,-1.4253716E-001,-5.0915964E+001,-2.6381390E-002, 1.8409125E+002, 0.0000000E+000, 6.6045424E+002, 6.7542989E+002, 0.0000000E+000, 1.9545661E-002, 0.0000000E+000, 1.0055351E+004
 2.6478763E+000, 1.1117446E+003, 0.0000000E+000,-2.9792294E+002,-1.3260155E-001,-5.5058551E+001,-2.8050604E-002, 2.8523821E+002, 0.0000000E+000, 1.0377110E+003, 1.0438407E+003, 0.0000000E+000, 1.9607318E-002, 0.0000000E+000, 1.1353821E+004
 2.7600536E+000, 1.0652520E+003, 0.0000000E+000,-3.1534670E+002,-1.6970845E-001,-5.9338353E+001,-2.7180919E-002, 2.6486125E+002, 0.0000000E+000, 9.5774460E+002, 9.5523127E+002, 0.0000000E+000, 1.9654872E-002, 0.0000000E+000, 1.2431087E+004
 2.8802438E+000, 1.1031494E+003, 0.0000000E+000,-3.1959608E+002,-1.0550034E-001,-6.4274909E+001,-3.0976912E-002, 2.7607260E+002, 0.0000000E+000, 1.0052407E+003, 9.9521455E+002, 0.0000000E+000, 1.9691169E-002, 0.0000000E+000, 1.3638656E+004
 3.0045791E+000, 8.1186555E+002, 0.0000000E+000,-2.7017382E+002,-1.3698774E-001,-6.6342538E+001,-3.4755055E-002, 1.8231896E+002, 0.0000000E+000, 6.6760219E+002, 6.5749641E+002, 0.0000000E+000, 1.9721232E-002, 0.0000000E+000, 1.4466934E+004
 3.1226826E+000, 9.2436223E+002, 0.0000000E+000,-2.5302853E+002,-1.3906871E-001,-7.1072473E+001,-3.3102918E-002, 2.2264831E+002, 0.0000000E+000, 7.9803946E+002, 8.2273736E+002, 0.0000000E+000, 1.9744716E-002, 0.0000000E+000, 1.5402824E+004
 3.2418561E+000, 1.3451218E+003, 0.0000000E+000,-3.4973568E+002,-1.1471606E-001,-7.9258756E+001,-3.2949247E-002, 3.4263442E+002, 0.0000000E+000, 1.2469359E+003, 1.2586141E+003, 0.0000000E+000, 1.9762822E-002, 0.0000000E+000, 1.6872489E+004
 3.3621523E+000, 1.1905683E+003, 0.0000000E+000,-3.8565649E+002,-1.2757271E-001,-8.4617074E+001,-3.2379865E-002, 2.8333189E+002, 0.0000000E+000, 1.0323912E+003, 1.0034667E+003, 0.0000000E+000, 1.9777301E-002, 0.0000000E+000, 1.8124339E+004
 3.4851828E+000, 8.6135420E+002, 0.0000000E+000,-2.8264204E+002,-1.5055501E-001,-8.4555528E+001,-3.1329836E-002, 1.9632981E+002, 0.0000000E+000, 6.9189051E+002, 6.9030456E+002, 0.0000000E+000, 1.9788866E-002, 0.0000000E+000, 1.9000287E+004
 3.6026804E+000, 9.7445821E+002, 0.0000000E+000,-2.7643594E+002,-1.3675011E-001,-8.7857443E+001,-3.0530512E-002, 2.3512534E+002, 0.0000000E+000, 8.3255652E+002, 8.4512288E+002, 0.0000000E+000, 1.9797812E-002, 0.0000000E+000, 1.9992517E+004
 3.7264481E+000, 9.6406068E+002, 0.0000000E+000,-2.9570012E+002,-1.2947398E-001,-9.1583165E+001,-3.1240549E-002, 2.2997335E+002, 0.0000000E+000, 8.2100810E+002, 8.0659003E+002, 0.0000000E+000, 1.9804860E-002, 0.0000000E+000, 2.1031691E+004
 3.8416908E+000, 7.3541081E+002, 0.0000000E+000,-2.4128525E+002,-1.2013623E-001,-8.9203923E+001,-3.3638220E-002, 1.6593555E+002, 0.0000000E+000, 5.7616915E+002, 5.7070341E+002, 0.0000000E+000, 1.9810368E-002, 0.0000000E+000, 2.1727846E+004
 3.9626839E+000, 6.7329086E+002, 0.0000000E+000,-2.1984382E+002,-1.1686817E-001,-8.5223107E+001,-3.1595320E-002, 1.4464419E+002, 0.0000000E+000, 5.0967852E+002, 5.1271966E+002, 0.0000000E+000, 1.9814664E-002, 0.0000000E+000, 2.2360114E+004
 4.0836768E+000, 9.3649685E+002, 0.0000000E+000,-2.6513454E+002,-1.4825226E-001,-8.4964023E+001,-2.9132207E-002, 2.1878347E+002, 0.0000000E+000, 7.8663949E+002, 8.0500437E+002, 0.0000000E+000, 1.9818122E-002, 0.0000000E+000, 2.3305318E+004
 4.2029896E+000, 1.0865469E+003, 0.0000000E+000,-3.3491873E+002,-1.2802300E-001,-8.5066471E+001,-2.7051325E-002, 2.5764918E+002, 0.0000000E+000, 9.2660473E+002, 9.2405578E+002, 0.0000000E+000, 1.9820819E-002, 0.0000000E+000, 2.4418014E+004
 4.3253269E+000, 9.5325147E+002, 0.0000000E+000,-3.1516010E+002,-1.3610765E-001,-8.5434497E+001,-2.6950588E-002, 2.1614023E+002, 0.0000000E+000, 7.7509391E+002, 7.6863404E+002, 0.0000000E+000, 1.9822945E-002, 0.0000000E+000, 2.5380180E+004
 4.4439411E+000, 8.5752347E+002, 0.0000000E+000,-2.9301933E+002,-1.4088067E-001,-8.7066019E+001,-2.5709383E-002, 1.8767424E+002, 0.0000000E+000, 6.6761334E+002, 6.6494577E+002, 0.0000000E+000, 1.9824619E-002, 0.0000000E+000, 2.6187653E+004
 4.5608869E+000, 7.9503085E+002, 0.0000000E+000,-2.7342904E+002,-1.5022388E-001,-8.5631654E+001,-2.7154178E-002, 1.6973324E+002, 0.0000000E+000, 6.1039515E+002, 6.0552601E+002, 0.0000000E+000, 1.9825909E-002, 0.0000000E+000, 2.6910114E+004
 4.6800251E+000, 7.6148893E+002, 0.0000000E+000,-2.6821652E+002,-1.4829713E-001,-8.4564638E+001,-2.8196533E-002, 1.5438565E+002, 0.0000000E+000, 5.6429160E+002, 5.6291693E+002, 0.0000000E+000, 1.9826930E-002, 0.0000000E+000, 2.7577055E+004
 4.8061323E+000, 7.8676604E+002, 0.0000000E+000,-2.7899763E+002,-1.4270980E-001,-8.8094591E+001,-2.9492119E-002, 1.5836807E+002, 0.0000000E+000, 5.7366730E+002, 5.7786968E+002, 0.0000000E+000, 1.9827759E-002, 0.0000000E+000, 2.8295980E+004
 4.9264717E+000, 8.6962325E+002, 0.0000000E+000,-2.8635695E+002,-1.3284202E-001,-9.3774612E+001,-3.1448487E-002, 1.8896671E+002, 0.0000000E+000, 6.8013197E+002, 6.7829410E+002, 0.0000000E+000, 1.9828413E-002, 0.0000000E+000, 2.9119606E+004
 5.0468116E+000, 7.6331597E+002, 0.0000000E+000,-2.6983659E+002,-1.6376582E-001,-9.3734887E+001,-3.0536172E-002, 1.5315134E+002, 0.0000000E+000, 5.4887284E+002, 5.5270154E+002, 0.0000000E+000, 1.9828914E-002, 0.0000000E+000, 2.9785254E+004
 5.1619477E+000, 1.0827510E+003, 0.0000000E+000,-3.3033317E+002,-1.1979909E-001,-9.7807794E+001,-3.1963038E-002, 2.3822818E+002, 0.0000000E+000, 8.7902155E+002, 8.9268649E+002, 0.0000000E+000, 1.9829300E-002, 0.0000000E+000, 3.0769429E+004
 5.2823939E+000, 1.1172820E+003, 0.0000000E+000,-3.7536553E+002,-1.0195335E-001,-1.0097128E+002,-3.1420444E-002, 2.4606105E+002, 0.0000000E+000, 8.9732320E+002, 8.8687282E+002, 0.0000000E+000, 1.9829607E-002, 0.0000000E+000, 3.1847581E+004
 5.4033747E+000, 8.9122489E+002, 0.0000000E+000,-3.2294862E+002,-1.4531748E-001,-1.0398409E+002,-3.0404830E-002, 1.8521040E+002, 0.0000000E+000, 6.6087158E+002, 6.4932686E+002, 0.0000000E+000, 1.9829853E-002, 0.0000000E+000, 3.2666721E+004
 5.5237069E+000, 7.4454473E+002, 0.0000000E+000,-2.8435856E+002,-1.5184078E-001,-1.0580042E+002,-2.9491943E-002, 1.3759119E+002, 0.0000000E+000, 4.9701971E+002, 4.9179561E+002, 0.0000000E+000, 1.9830046E-002, 0.0000000E+000, 3.3269187E+004
 5.6427569E+000, 9.0361115E+002, 0.0000000E+000,-2.9359739E+002,-1.3537003E-001,-1.0911904E+002,-2.7744306E-002, 1.8385180E+002, 0.0000000E+000, 6.6767425E+002, 6.8458341E+002, 0.0000000E+000, 1.9830196E-002, 0.0000000E+000, 3.4050686E+004
 5.7605481E+000, 1.0171788E+003, 0.0000000E+000,-3.5328712E+002,-1.3126390E-001,-1.1380243E+002,-2.9483048E-002, 2.0610527E+002, 0.0000000E+000, 7.5581593E+002, 7.5603377E+002, 0.0000000E+000, 1.9830314E-002, 0.0000000E+000, 3.4928991E+004
 5.8888545E+000, 9.2243784E+002, 0.0000000E+000,-3.5333779E+002,-7.0305775E-002,-1.1478581E+002,-3.0488276E-002, 1.7628875E+002, 0.0000000E+000, 6.4833868E+002, 6.3050218E+002, 0.0000000E+000, 1.9830411E-002, 0.0000000E+000, 3.5759420E+004
 6.0064683E+000, 7.3985022E+002, 0.0000000E+000,-2.9181021E+002,-1.0933748E-001,-1.1230642E+002,-3.1657607E-002, 1.3050958E+002, 0.0000000E+000, 4.6633399E+002, 4.6610218E+002, 0.0000000E+000, 1.9830486E-002, 0.0000000E+000, 3.6316135E+004
 6.1220927E+000, 7.4889256E+002, 0.0000000E+000,-2.8008370E+002,-5.6555709E-002,-1.0977496E+002,-2.8220482E-002, 1.3303596E+002, 0.0000000E+000, 4.9186647E+002, 4.9198509E+002, 0.0000000E+000, 1.9830542E-002, 0.0000000E+000, 3.6873445E+004
 6.2448521E+000, 7.6009332E+002, 0.0000000E+000,-3.0087581E+002,-2.0474116E-001,-1.1011830E+002,-2.6890962E-002, 1.2790066E+002, 0.0000000E+000, 4.6915174E+002, 4.7676825E+002, 0.0000000E+000, 1.9830587E-002, 0.0000000E+000, 3.7437931E+004
 6.3649426E+000, 9.6347813E+002, 0.0000000E+000,-3.5907973E+002,-1.3006536E-001,-1.1389281E+002,-2.8044438E-002, 1.7692279E+002, 0.0000000E+000, 6.5644522E+002, 6.6727027E+002, 0.0000000E+000, 1.9830623E-002, 0.0000000E+000, 3.8201100E+004
 6.4857397E+000, 1.0899498E+003, 0.0000000E+000,-4.0850983E+002,-1.4952513E-001,-1.1816177E+002,-2.9887383E-002, 2.0829443E+002, 0.0000000E+000, 7.7171221E+002, 7.7139318E+002, 0.0000000E+000, 1.9830651E-002, 0.0000000E+000, 3.9111099E+004
 6.6022987E+000, 1.0140195E+003, 0.0000000E+000,-3.8187235E+002,-3.2576277E-002,-1.1843017E+002,-2.8898315E-002, 1.9503715E+002, 0.0000000E+000, 7.1328152E+002, 7.0869265E+002, 0.0000000E+000, 1.9830673E-002, 0.0000000E+000, 3.9936941E+004
 6.7242570E+000, 8.8621828E+002, 0.0000000E+000,-3.4844551E+002,-1.0461777E-001,-1.1738115E+002,-3.1550705E-002, 1.5777942E+002, 0.0000000E+000, 5.8457792E+002, 5.7803488E+002, 0.0000000E+000, 1.9830690E-002, 0.0000000E+000, 4.0638997E+004
 6.8471084E+000, 8.9211378E+002, 0.0000000E+000,-3.3845941E+002,-1.8276184E-001,-1.1778937E+002,-3.1881125E-002, 1.5744653E+002, 0.0000000E+000, 5.8542338E+002, 5.9309688E+002, 0.0000000E+000, 1.9830704E-002, 0.0000000E+000, 4.1334408E+004
 6.9654937E+000, 9.2923739E+002, 0.0000000E+000,-3.5952701E+002,-1.0282462E-001,-1.1989765E+002,-3.4120612E-002, 1.6814738E+002, 0.0000000E+000, 6.2278381E+002, 6.1782316E+002, 0.0000000E+000, 1.9830715E-002, 0.0000000E+000, 4.2057509E+004
 7.0841651E+000, 8.9848479E+002, 0.0000000E+000,-3.4811113E+002,-1.4570906E-001,-1.2142303E+002,-3.5567498E-002, 1.6117851E+002, 0.0000000E+000, 5.8726665E+002, 5.8994787E+002, 0.0000000E+000, 1.9830723E-002, 0.0000000E+000, 4.2748470E+004
 7.2068400E+000, 9.4650464E+002, 0.0000000E+000,-3.6393123E+002,-9.0097603E-002,-1.2402020E+002,-3.4724030E-002, 1.7057799E+002, 0.0000000E+000, 6.2598251E+002, 6.2900638E+002, 0.0000000E+000, 1.9830730E-002, 0.0000000E+000, 4.3503915E+004
 7.3200922E+000, 1.0591553E+003, 0.0000000E+000,-3.8902588E+002,-2.0102168E-001,-1.2534630E+002,-3.3512706E-002, 1.9972031E+002, 0.0000000E+000, 7.3231409E+002, 7.4426891E+002, 0.0000000E+000, 1.9830735E-002, 0.0000000E+000, 4.4315910E+004
 7.4459028E+000, 1.1189472E+003, 0.0000000E+000,-4.2543580E+002,-1.1691709E-001,-1.2664463E+002,-3.2966976E-002, 2.1410094E+002, 0.0000000E+000, 7.8635566E+002, 7.8081785E+002, 0.0000000E+000, 1.9830739E-002, 0.0000000E+000, 4.5294050E+004
