s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 1.7443077E+001, 0.0000000E+000,-1.6031031E-005,-1.1115901E-002,-6.4833562E-006,-1.0254030E-003, 3.5720952E+000, 0.0000000E+000, 5.0882605E-002, 2.1003009E+001, 0.0000000E+000, 1.4753568E-003, 0.0000000E+000,-1.6557680E-001
 3.0918992E-001, 7.3846695E+001, 0.0000000E+000,-9.9941709E-001,-1.8744021E-002,-1.4582953E-001,-5.3786832E-003, 2.0010114E+001, 0.0000000E+000, 4.6285006E+001, 9.2687440E+001, 0.0000000E+000, 2.8903788E-003, 0.0000000E+000, 4.8628529E+001
 3.9481589E-001, 1.1642375E+002, 0.0000000E+000,-2.6982895E+001,-2.0419006E-002,-7.3129955E-001,-8.0473995E-003, 3.0454170E+001, 0.0000000E+000, 1.1317243E+002, 1.1913526E+002, 0.0000000E+000, 3.4445324E-003, 0.0000000E+000, 1.4230170E+002
 5.0696445E-001, 1.1076537E+002, 0.0000000E+000,-7.7278161E+001,-2.6515893E-002,-1.2930863E+000,-9.1782947E-003, 1.3993666E+001, 0.0000000E+000, 6.2467199E+001, 4.6152099E+001, 0.0000000E+000, 4.2208074E-003, 0.0000000E+000, 2.0913157E+002
 6.2265289E-001, 1.1584509E+002, 0.0000000E+000,-6.4042276E+001,-3.3272547E-002,-1.4040452E+000,-1.0223038E-002, 1.6773377E+001, 0.0000000E+000, 5.8006889E+001, 6.7128654E+001, 0.0000000E+000, 5.0331580E-003, 0.0000000E+000, 2.7335888E+002
 7.3306292E-001, 1.7182391E+002, 0.0000000E+000,-8.3955446E+001,-3.8213113E-002,-1.7076959E+000,-1.1826810E-002, 3.0304769E+001, 0.0000000E+000, 1.0805617E+002, 1.1641550E+002, 0.0000000E+000, 5.7461808E-003, 0.0000000E+000, 3.8927839E+002
 8.4094399E-001, 2.1646942E+002, 0.0000000E+000,-9.4335067E+001,-3.9115275E-002,-2.2865924E+000,-1.3347806E-002, 4.3648232E+001, 0.0000000E+000, 1.5782725E+002, 1.6344353E+002, 0.0000000E+000, 6.3672838E-003, 0.0000000E+000, 5.5637304E+002
 9.6423841E-001, 2.9993996E+002, 0.0000000E+000,-1.1908128E+002,-4.2601029E-002,-3.2650390E+000,-1.4209106E-002, 6.5820302E+001, 0.0000000E+000, 2.3870163E+002, 2.4335713E+002, 0.0000000E+000, 6.9401763E-003, 0.0000000E+000, 8.4663673E+002
 1.0825599E+000, 3.1517738E+002, 0.0000000E+000,-1.0987567E+002,-4.8923354E-002,-4.4320926E+000,-1.4869100E-002, 7.6384855E+001, 0.0000000E+000, 2.7409485E+002, 2.7719069E+002, 0.0000000E+000, 7.4525093E-003, 0.0000000E+000, 1.1716999E+003
 1.2047032E+000, 3.1570718E+002, 0.0000000E+000,-1.0838471E+002,-4.9440573E-002,-5.8185006E+000,-1.5610615E-002, 7.7585900E+001, 0.0000000E+000, 2.8199904E+002, 2.7902481E+002, 0.0000000E+000, 7.8769573E-003, 0.0000000E+000, 1.5167456E+003
 1.3211150E+000, 3.1196395E+002, 0.0000000E+000,-1.1036856E+002,-5.1481061E-002,-7.5233151E+000,-1.7635936E-002, 7.2899195E+001, 0.0000000E+000, 2.6628205E+002, 2.6690216E+002, 0.0000000E+000, 8.2241136E-003, 0.0000000E+000, 1.8237467E+003
 1.4449927E+000, 3.2172078E+002, 0.0000000E+000,-1.0284284E+002,-5.2639287E-002,-9.3122333E+000,-1.8428881E-002, 7.9983759E+001, 0.0000000E+000, 2.8846143E+002, 2.8947840E+002, 0.0000000E+000, 8.5077081E-003, 0.0000000E+000, 2.1813466E+003
 1.5610840E+000, 3.1078960E+002, 0.0000000E+000,-8.8816355E+001,-5.5907871E-002,-1.1881779E+001,-1.8044936E-002, 7.9174108E+001, 0.0000000E+000, 2.8450918E+002, 2.8919162E+002, 0.0000000E+000, 8.7389182E-003, 0.0000000E+000, 2.5110488E+003
 1.6803784E+000, 4.3349973E+002, 0.0000000E+000,-1.2154360E+002,-5.6310028E-002,-1.6252867E+001,-1.7713135E-002, 1.1192984E+002, 0.0000000E+000, 4.0781699E+002, 4.0755908E+002, 0.0000000E+000, 8.9212128E-003, 0.0000000E+000, 2.9941346E+003
