s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 3.2861737E+001, 0.0000000E+000,-2.6653917E-005,-2.1651418E-002,-1.2888565E-005,-1.2350841E-003, 6.6866102E+000, 0.0000000E+000, 9.5864792E-002, 3.9525421E+001, 0.0000000E+000, 2.7800019E-003, 0.0000000E+000, 2.1028610E-001
 2.4528237E-001, 1.0936798E+002, 0.0000000E+000,-5.3592814E-001,-2.6481274E-002,-1.0974762E-001,-9.7561630E-003, 3.3427270E+001, 0.0000000E+000, 9.0110212E+001, 1.4211333E+002, 0.0000000E+000, 4.3701178E-003, 0.0000000E+000, 3.6267539E+001
 3.7880355E-001, 1.3013892E+002, 0.0000000E+000,-6.7160657E+001,-3.8098940E-002,-9.8744742E-001,-1.0561851E-002, 2.7738380E+001, 0.0000000E+000, 1.3165435E+002, 8.9680535E+001, 0.0000000E+000, 5.8518829E-003, 0.0000000E+000, 2.0361514E+002
 4.9871689E-001, 7.8944779E+001, 0.0000000E+000,-4.4963618E+001,-5.3072454E-002,-1.2886381E+000,-1.2852836E-002, 8.8539114E+000, 0.0000000E+000, 2.6013124E+001, 4.1480509E+001, 0.0000000E+000, 7.7921492E-003, 0.0000000E+000, 2.3344436E+002
 6.1094940E-001, 1.3402034E+002, 0.0000000E+000,-6.4449232E+001,-6.5659947E-002,-1.4229053E+000,-1.3556562E-002, 2.1150612E+001, 0.0000000E+000, 7.5638503E+001, 8.9219594E+001, 0.0000000E+000, 9.3503152E-003, 0.0000000E+000, 3.1124266E+002
 7.3248500E-001, 2.2117132E+002, 0.0000000E+000,-1.0460857E+002,-7.2609349E-002,-1.8688521E+000,-1.7593134E-002, 3.9143600E+001, 0.0000000E+000, 1.4359821E+002, 1.5374730E+002, 0.0000000E+000, 1.0748839E-002, 0.0000000E+000, 4.7666922E+002
 8.5187417E-001, 3.3965515E+002, 0.0000000E+000,-1.4640877E+002,-7.9604348E-002,-2.5575884E+000,-1.9848377E-002, 6.6684605E+001, 0.0000000E+000, 2.4365217E+002, 2.5727394E+002, 0.0000000E+000, 1.2047257E-002, 0.0000000E+000, 7.5629598E+002
 9.6942514E-001, 4.8777402E+002, 0.0000000E+000,-2.0391010E+002,-8.7047896E-002,-3.7657842E+000,-1.9477424E-002, 9.9621064E+001, 0.0000000E+000, 3.7092914E+002, 3.7961267E+002, 0.0000000E+000, 1.3149937E-002, 0.0000000E+000, 1.1745617E+003
 1.0861224E+000, 5.7155312E+002, 0.0000000E+000,-2.2524577E+002,-9.7545046E-002,-5.3619808E+000,-1.8870422E-002, 1.2552288E+002, 0.0000000E+000, 4.6298996E+002, 4.6635183E+002, 0.0000000E+000, 1.4072157E-002, 0.0000000E+000, 1.7025114E+003
 1.2020878E+000, 5.4624237E+002, 0.0000000E+000,-1.9833926E+002,-1.0090246E-001,-7.3940511E+000,-2.2048393E-002, 1.2733685E+002, 0.0000000E+000, 4.6929639E+002, 4.6772295E+002, 0.0000000E+000, 1.4843067E-002, 0.0000000E+000, 2.2380195E+003
 1.3273481E+000, 5.0121703E+002, 0.0000000E+000,-1.7250788E+002,-1.1022709E-001,-9.8170190E+000,-2.3834893E-002, 1.1838415E+002, 0.0000000E+000, 4.3606139E+002, 4.3714223E+002, 0.0000000E+000, 1.5502317E-002, 0.0000000E+000, 2.7741700E+003
 1.4428405E+000, 5.8065022E+002, 0.0000000E+000,-1.7565197E+002,-1.0903371E-001,-1.2456134E+001,-2.4246587E-002, 1.4227321E+002, 0.0000000E+000, 5.2434971E+002, 5.3468205E+002, 0.0000000E+000, 1.6038875E-002, 0.0000000E+000, 3.3623560E+003
 1.5614895E+000, 6.2601555E+002, 0.0000000E+000,-1.9020713E+002,-1.1061208E-001,-1.6360360E+001,-2.4504607E-002, 1.6374176E+002, 0.0000000E+000, 5.8974236E+002, 5.8305470E+002, 0.0000000E+000, 1.6463890E-002, 0.0000000E+000, 4.0689295E+003
 1.6820728E+000, 5.9736003E+002, 0.0000000E+000,-1.6364426E+002,-1.1691388E-001,-2.2512530E+001,-2.3726227E-002, 1.5526599E+002, 0.0000000E+000, 5.6101466E+002, 5.6632860E+002, 0.0000000E+000, 1.6813848E-002, 0.0000000E+000, 4.7441331E+003
