,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T10:41:47.533+01:00, 0.103E+00,   0.10306, 0.21911E+01
       2,2026-02-04T10:41:47.601+01:00, 0.103E+00,   0.20613, 0.22582E+01
       3,2026-02-04T10:41:47.703+01:00, 0.345E-01,   0.24063, 0.23601E+01
       4,2026-02-04T10:41:47.762+01:00, 0.379E-01,   0.27857, 0.24188E+01
       5,2026-02-04T10:41:47.817+01:00, 0.379E-01,   0.31652, 0.24738E+01
       6,2026-02-04T10:41:47.896+01:00, 0.417E-01,   0.35827, 0.25529E+01
       7,2026-02-04T10:41:47.961+01:00, 0.459E-01,   0.40419, 0.26183E+01
       8,2026-02-04T10:41:48.022+01:00, 0.459E-01,   0.45010, 0.26791E+01
       9,2026-02-04T10:41:48.124+01:00, 0.408E-01,   0.49095, 0.27807E+01
      10,2026-02-04T10:41:48.205+01:00, 0.349E-01,   0.52588, 0.28620E+01
      20,2026-02-04T10:41:48.895+01:00, 0.147E-01,   0.73562, 0.35498E+01
      30,2026-02-04T10:41:49.540+01:00, 0.130E-01,   0.87229, 0.41911E+01
      40,2026-02-04T10:41:50.193+01:00, 0.102E-01,   0.98544, 0.48434E+01
      50,2026-02-04T10:41:50.836+01:00, 0.791E-02,   1.07485, 0.54862E+01
      60,2026-02-04T10:41:51.497+01:00, 0.771E-02,   1.15711, 0.61471E+01
      70,2026-02-04T10:41:52.163+01:00, 0.730E-02,   1.23485, 0.68111E+01
      80,2026-02-04T10:41:52.784+01:00, 0.802E-02,   1.31436, 0.74323E+01
      90,2026-02-04T10:41:53.399+01:00, 0.802E-02,   1.39461, 0.80468E+01
     100,2026-02-04T10:41:54.086+01:00, 0.639E-02,   1.46684, 0.87310E+01
     200,2026-02-04T10:42:00.192+01:00, 0.754E-02,   2.25608, 0.14834E+02
     300,2026-02-04T10:42:06.698+01:00, 0.645E-02,   2.96522, 0.21329E+02
     400,2026-02-04T10:42:13.475+01:00, 0.707E-02,   3.66063, 0.28077E+02
     500,2026-02-04T10:42:20.750+01:00, 0.670E-02,   4.33945, 0.35300E+02
     600,2026-02-04T10:42:28.238+01:00, 0.619E-02,   5.06215, 0.42723E+02
     700,2026-02-04T10:42:36.220+01:00, 0.736E-02,   5.77259, 0.50622E+02
     800,2026-02-04T10:42:43.553+01:00, 0.721E-02,   6.51661, 0.57904E+02
     900,2026-02-04T10:42:50.115+01:00, 0.700E-02,   7.25781, 0.64455E+02
    1000,2026-02-04T10:42:56.874+01:00, 0.716E-02,   7.95830, 0.71206E+02
    1100,2026-02-04T10:43:03.632+01:00, 0.667E-02,   8.68384, 0.77946E+02
    1200,2026-02-04T10:43:10.221+01:00, 0.606E-02,   9.50576, 0.84530E+02
    1300,2026-02-04T10:43:16.748+01:00, 0.888E-02,  10.25143, 0.91054E+02
    1400,2026-02-04T10:43:23.328+01:00, 0.711E-02,  11.03930, 0.97624E+02
    1500,2026-02-04T10:43:29.991+01:00, 0.943E-02,  11.80796, 0.10427E+03
    1600,2026-02-04T10:43:36.594+01:00, 0.828E-02,  12.59014, 0.11087E+03
    1700,2026-02-04T10:43:43.168+01:00, 0.890E-02,  13.38829, 0.11743E+03
    1800,2026-02-04T10:43:49.801+01:00, 0.761E-02,  14.23621, 0.12405E+03
    1900,2026-02-04T10:43:56.392+01:00, 0.604E-02,  15.03216, 0.13064E+03
    2000,2026-02-04T10:44:02.988+01:00, 0.813E-02,  15.90419, 0.13722E+03
    2100,2026-02-04T10:44:09.552+01:00, 0.920E-02,  16.74201, 0.14377E+03
    2200,2026-02-04T10:44:16.131+01:00, 0.850E-02,  17.60211, 0.15034E+03
    2300,2026-02-04T10:44:22.756+01:00, 0.782E-02,  18.48894, 0.15695E+03
    2400,2026-02-04T10:44:29.342+01:00, 0.789E-02,  19.37551, 0.16352E+03
    2500,2026-02-04T10:44:35.813+01:00, 0.100E-01,  20.25389, 0.16999E+03
    2600,2026-02-04T10:44:42.209+01:00, 0.950E-02,  21.13892, 0.17637E+03
    2700,2026-02-04T10:44:48.715+01:00, 0.984E-02,  21.99122, 0.18287E+03
    2800,2026-02-04T10:44:55.259+01:00, 0.822E-02,  22.82552, 0.18941E+03
    2900,2026-02-04T10:45:01.843+01:00, 0.761E-02,  23.73030, 0.19598E+03
    3000,2026-02-04T10:45:08.509+01:00, 0.945E-02,  24.61581, 0.20264E+03
    3100,2026-02-04T10:45:15.031+01:00, 0.840E-02,  25.53201, 0.20915E+03
    3200,2026-02-04T10:45:21.453+01:00, 0.794E-02,  26.45531, 0.21556E+03
    3300,2026-02-04T10:45:27.968+01:00, 0.931E-02,  27.39607, 0.22207E+03
    3400,2026-02-04T10:45:34.410+01:00, 0.104E-01,  28.31644, 0.22850E+03
    3500,2026-02-04T10:45:40.893+01:00, 0.955E-02,  29.31057, 0.23498E+03
    3600,2026-02-04T10:45:47.364+01:00, 0.976E-02,  30.22049, 0.24144E+03
    3700,2026-02-04T10:45:53.904+01:00, 0.969E-02,  31.10709, 0.24797E+03
    3800,2026-02-04T10:46:00.250+01:00, 0.105E-01,  32.05780, 0.25431E+03
    3900,2026-02-04T10:46:06.659+01:00, 0.986E-02,  33.04806, 0.26072E+03
    4000,2026-02-04T10:46:13.231+01:00, 0.877E-02,  33.95218, 0.26728E+03
    4100,2026-02-04T10:46:19.634+01:00, 0.102E-01,  34.84923, 0.27368E+03
    4200,2026-02-04T10:46:26.502+01:00, 0.918E-02,  35.80909, 0.28051E+03
    4300,2026-02-04T10:46:33.828+01:00, 0.948E-02,  36.76709, 0.28777E+03
    4400,2026-02-04T10:46:40.994+01:00, 0.955E-02,  37.76771, 0.29488E+03
    4500,2026-02-04T10:46:48.204+01:00, 0.977E-02,  38.79894, 0.30201E+03
    4600,2026-02-04T10:46:55.473+01:00, 0.963E-02,  39.76994, 0.30922E+03
    4700,2026-02-04T10:47:02.832+01:00, 0.942E-02,  40.78202, 0.31650E+03
    4800,2026-02-04T10:47:09.320+01:00, 0.982E-02,  41.79733, 0.32298E+03
    4900,2026-02-04T10:47:15.808+01:00, 0.110E-01,  42.73674, 0.32946E+03
    5000,2026-02-04T10:47:22.160+01:00, 0.105E-01,  43.75977, 0.33581E+03
    5100,2026-02-04T10:47:28.668+01:00, 0.100E-01,  44.78752, 0.34231E+03
    5200,2026-02-04T10:47:35.109+01:00, 0.819E-02,  45.73927, 0.34875E+03
    5300,2026-02-04T10:47:41.539+01:00, 0.101E-01,  46.72903, 0.35518E+03
    5400,2026-02-04T10:47:47.997+01:00, 0.108E-01,  47.78427, 0.36163E+03
    5500,2026-02-04T10:47:54.562+01:00, 0.115E-01,  48.86249, 0.36819E+03
    5600,2026-02-04T10:48:01.065+01:00, 0.108E-01,  49.88967, 0.37468E+03
    5700,2026-02-04T10:48:07.621+01:00, 0.102E-01,  50.95984, 0.38122E+03
    5800,2026-02-04T10:48:14.185+01:00, 0.104E-01,  52.02880, 0.38777E+03
    5900,2026-02-04T10:48:20.679+01:00, 0.111E-01,  53.03815, 0.39426E+03
    6000,2026-02-04T10:48:27.270+01:00, 0.106E-01,  54.06505, 0.40084E+03
    6100,2026-02-04T10:48:33.808+01:00, 0.115E-01,  55.20846, 0.40737E+03
    6200,2026-02-04T10:48:40.334+01:00, 0.958E-02,  56.25737, 0.41389E+03
