,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
    5200,2026-02-03T13:51:59.149+01:00, 0.951E-02,  45.58154, 0.34887E+03
    5300,2026-02-03T13:52:05.620+01:00, 0.109E-01,  46.50216, 0.35534E+03
    5400,2026-02-03T13:52:11.997+01:00, 0.102E-01,  47.48022, 0.36171E+03
    5500,2026-02-03T13:52:18.258+01:00, 0.991E-02,  48.47720, 0.36797E+03
    5600,2026-02-03T13:52:24.671+01:00, 0.879E-02,  49.44748, 0.37438E+03
    5700,2026-02-03T13:52:31.011+01:00, 0.979E-02,  50.43522, 0.38072E+03
    5800,2026-02-03T13:52:37.373+01:00, 0.982E-02,  51.29216, 0.38708E+03
    5900,2026-02-03T13:52:43.835+01:00, 0.851E-02,  52.16089, 0.39354E+03
    6000,2026-02-03T13:52:50.244+01:00, 0.900E-02,  53.13881, 0.39995E+03
    6100,2026-02-03T13:52:56.650+01:00, 0.908E-02,  54.09785, 0.40636E+03
    6200,2026-02-03T13:53:03.048+01:00, 0.101E-01,  55.18471, 0.41275E+03
    6300,2026-02-03T13:53:09.441+01:00, 0.113E-01,  56.14700, 0.41914E+03
    6400,2026-02-03T13:53:15.890+01:00, 0.114E-01,  57.13414, 0.42559E+03
    6500,2026-02-03T13:53:22.341+01:00, 0.958E-02,  58.08571, 0.43204E+03
    6600,2026-02-03T13:53:28.827+01:00, 0.109E-01,  59.06803, 0.43852E+03
    6692,2026-02-03T13:53:34.669+01:00, 0.907E-02,  60.00000, 0.44436E+03
