,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T10:14:51.840+01:00, 0.103E+00,   0.10306, 0.22870E+01
       2,2026-02-04T10:14:51.907+01:00, 0.103E+00,   0.20613, 0.23544E+01
       3,2026-02-04T10:14:51.989+01:00, 0.103E+00,   0.30919, 0.24361E+01
       4,2026-02-04T10:14:52.077+01:00, 0.195E-01,   0.32866, 0.25233E+01
       5,2026-02-04T10:14:52.137+01:00, 0.214E-01,   0.35008, 0.25840E+01
       6,2026-02-04T10:14:52.215+01:00, 0.236E-01,   0.37364, 0.26612E+01
       7,2026-02-04T10:14:52.274+01:00, 0.259E-01,   0.39956, 0.27205E+01
       8,2026-02-04T10:14:52.337+01:00, 0.285E-01,   0.42806, 0.27835E+01
       9,2026-02-04T10:14:52.411+01:00, 0.314E-01,   0.45942, 0.28570E+01
      10,2026-02-04T10:14:52.473+01:00, 0.314E-01,   0.49078, 0.29188E+01
      20,2026-02-04T10:14:53.186+01:00, 0.143E-01,   0.69735, 0.36316E+01
      30,2026-02-04T10:14:53.831+01:00, 0.125E-01,   0.82978, 0.42761E+01
      40,2026-02-04T10:14:54.515+01:00, 0.912E-02,   0.92433, 0.49548E+01
      50,2026-02-04T10:14:55.138+01:00, 0.889E-02,   1.01642, 0.55773E+01
      60,2026-02-04T10:14:55.786+01:00, 0.937E-02,   1.10198, 0.62248E+01
      70,2026-02-04T10:14:56.416+01:00, 0.793E-02,   1.18992, 0.68549E+01
      80,2026-02-04T10:14:57.038+01:00, 0.872E-02,   1.27716, 0.74760E+01
      90,2026-02-04T10:14:57.696+01:00, 0.756E-02,   1.36091, 0.81346E+01
     100,2026-02-04T10:14:58.327+01:00, 0.756E-02,   1.43651, 0.87646E+01
     200,2026-02-04T10:15:04.728+01:00, 0.823E-02,   2.20386, 0.15162E+02
     300,2026-02-04T10:15:11.226+01:00, 0.442E-02,   2.92550, 0.21656E+02
     400,2026-02-04T10:15:17.839+01:00, 0.670E-02,   3.59280, 0.28265E+02
     500,2026-02-04T10:15:24.420+01:00, 0.595E-02,   4.28447, 0.34839E+02
     600,2026-02-04T10:15:31.028+01:00, 0.657E-02,   4.97513, 0.41442E+02
     700,2026-02-04T10:15:37.623+01:00, 0.821E-02,   5.71898, 0.48031E+02
     800,2026-02-04T10:15:44.281+01:00, 0.839E-02,   6.49251, 0.54683E+02
     900,2026-02-04T10:15:51.000+01:00, 0.749E-02,   7.32769, 0.61392E+02
    1000,2026-02-04T10:15:57.728+01:00, 0.812E-02,   8.05648, 0.68111E+02
    1100,2026-02-04T10:16:04.441+01:00, 0.814E-02,   8.81653, 0.74816E+02
    1200,2026-02-04T10:16:11.132+01:00, 0.787E-02,   9.62502, 0.81502E+02
    1300,2026-02-04T10:16:17.740+01:00, 0.857E-02,  10.43074, 0.88100E+02
    1400,2026-02-04T10:16:24.327+01:00, 0.752E-02,  11.21167, 0.94684E+02
    1500,2026-02-04T10:16:31.095+01:00, 0.755E-02,  11.99727, 0.10143E+03
    1600,2026-02-04T10:16:37.826+01:00, 0.775E-02,  12.78228, 0.10816E+03
    1700,2026-02-04T10:16:44.513+01:00, 0.796E-02,  13.61500, 0.11483E+03
    1800,2026-02-04T10:16:51.094+01:00, 0.981E-02,  14.46213, 0.12141E+03
    1900,2026-02-04T10:16:57.756+01:00, 0.667E-02,  15.27505, 0.12807E+03
    2000,2026-02-04T10:17:04.320+01:00, 0.869E-02,  16.11345, 0.13463E+03
    2100,2026-02-04T10:17:11.007+01:00, 0.577E-02,  16.93999, 0.14131E+03
    2200,2026-02-04T10:17:17.617+01:00, 0.833E-02,  17.77620, 0.14791E+03
    2300,2026-02-04T10:17:24.248+01:00, 0.871E-02,  18.66007, 0.15453E+03
    2400,2026-02-04T10:17:30.844+01:00, 0.789E-02,  19.50461, 0.16112E+03
    2500,2026-02-04T10:17:37.483+01:00, 0.849E-02,  20.35809, 0.16775E+03
    2600,2026-02-04T10:17:44.374+01:00, 0.987E-02,  21.23321, 0.17456E+03
    2700,2026-02-04T10:17:51.635+01:00, 0.926E-02,  22.10163, 0.18176E+03
    2800,2026-02-04T10:17:58.892+01:00, 0.711E-02,  22.96034, 0.18894E+03
    2900,2026-02-04T10:18:06.156+01:00, 0.918E-02,  23.83118, 0.19612E+03
    3000,2026-02-04T10:18:13.455+01:00, 0.104E-01,  24.73891, 0.20336E+03
    3100,2026-02-04T10:18:20.432+01:00, 0.867E-02,  25.70677, 0.21030E+03
    3200,2026-02-04T10:18:27.844+01:00, 0.787E-02,  26.58831, 0.21761E+03
    3300,2026-02-04T10:18:34.469+01:00, 0.947E-02,  27.49859, 0.22423E+03
    3400,2026-02-04T10:18:41.015+01:00, 0.810E-02,  28.44627, 0.23076E+03
    3500,2026-02-04T10:18:47.560+01:00, 0.933E-02,  29.31469, 0.23730E+03
    3600,2026-02-04T10:18:54.017+01:00, 0.960E-02,  30.24162, 0.24376E+03
    3700,2026-02-04T10:19:00.538+01:00, 0.879E-02,  31.22816, 0.25027E+03
    3800,2026-02-04T10:19:07.083+01:00, 0.825E-02,  32.16036, 0.25680E+03
    3900,2026-02-04T10:19:13.527+01:00, 0.808E-02,  33.06270, 0.26324E+03
    4000,2026-02-04T10:19:19.946+01:00, 0.105E-01,  34.00235, 0.26966E+03
    4100,2026-02-04T10:19:26.354+01:00, 0.109E-01,  34.98200, 0.27605E+03
    4200,2026-02-04T10:19:32.894+01:00, 0.921E-02,  35.89221, 0.28259E+03
    4300,2026-02-04T10:19:39.299+01:00, 0.105E-01,  36.85966, 0.28899E+03
    4400,2026-02-04T10:19:45.906+01:00, 0.869E-02,  37.78967, 0.29558E+03
    4500,2026-02-04T10:19:52.396+01:00, 0.987E-02,  38.69751, 0.30207E+03
    4600,2026-02-04T10:19:58.925+01:00, 0.832E-02,  39.67634, 0.30859E+03
    4700,2026-02-04T10:20:05.429+01:00, 0.919E-02,  40.64732, 0.31509E+03
    4800,2026-02-04T10:20:11.963+01:00, 0.929E-02,  41.62311, 0.32161E+03
    4900,2026-02-04T10:20:18.426+01:00, 0.915E-02,  42.59563, 0.32807E+03
    5000,2026-02-04T10:20:24.911+01:00, 0.948E-02,  43.56149, 0.33455E+03
    5100,2026-02-04T10:20:31.397+01:00, 0.102E-01,  44.52776, 0.34103E+03
    5200,2026-02-04T10:20:37.854+01:00, 0.107E-01,  45.46428, 0.34748E+03
    5300,2026-02-04T10:20:44.336+01:00, 0.924E-02,  46.45266, 0.35395E+03
    5400,2026-02-04T10:20:50.775+01:00, 0.101E-01,  47.45816, 0.36039E+03
    5500,2026-02-04T10:20:57.344+01:00, 0.116E-01,  48.45954, 0.36695E+03
    5600,2026-02-04T10:21:03.817+01:00, 0.985E-02,  49.46205, 0.37341E+03
    5700,2026-02-04T10:21:10.356+01:00, 0.949E-02,  50.38095, 0.37995E+03
    5800,2026-02-04T10:21:16.830+01:00, 0.962E-02,  51.38356, 0.38641E+03
    5900,2026-02-04T10:21:23.304+01:00, 0.111E-01,  52.38855, 0.39287E+03
    6000,2026-02-04T10:21:29.776+01:00, 0.987E-02,  53.46568, 0.39934E+03
    6100,2026-02-04T10:21:36.262+01:00, 0.102E-01,  54.46051, 0.40582E+03
    6200,2026-02-04T10:21:42.682+01:00, 0.897E-02,  55.44391, 0.41223E+03
    6300,2026-02-04T10:21:49.205+01:00, 0.912E-02,  56.48824, 0.41875E+03
    6400,2026-02-04T10:21:55.624+01:00, 0.101E-01,  57.48134, 0.42516E+03
    6500,2026-02-04T10:22:02.081+01:00, 0.110E-01,  58.47583, 0.43162E+03
    6600,2026-02-04T10:22:08.609+01:00, 0.975E-02,  59.51269, 0.43814E+03
    6700,2026-02-04T10:22:15.118+01:00, 0.880E-02,  60.46910, 0.44462E+03
    6800,2026-02-04T10:22:21.579+01:00, 0.833E-02,  61.44278, 0.45108E+03
    6900,2026-02-04T10:22:28.205+01:00, 0.108E-01,  62.52281, 0.45769E+03
    7000,2026-02-04T10:22:35.168+01:00, 0.112E-01,  63.51202, 0.46460E+03
    7100,2026-02-04T10:22:42.374+01:00, 0.106E-01,  64.52972, 0.47175E+03
    7200,2026-02-04T10:22:49.527+01:00, 0.926E-02,  65.52999, 0.47886E+03
    7300,2026-02-04T10:22:56.865+01:00, 0.108E-01,  66.50154, 0.48613E+03
    7400,2026-02-04T10:23:04.040+01:00, 0.112E-01,  67.55118, 0.49325E+03
    7500,2026-02-04T10:23:10.744+01:00, 0.108E-01,  68.65164, 0.49994E+03
    7600,2026-02-04T10:23:17.370+01:00, 0.119E-01,  69.65144, 0.50656E+03
    7700,2026-02-04T10:23:24.077+01:00, 0.123E-01,  70.70790, 0.51326E+03
    7800,2026-02-04T10:23:30.825+01:00, 0.963E-02,  71.82241, 0.52000E+03
    7900,2026-02-04T10:23:37.720+01:00, 0.107E-01,  72.84194, 0.52688E+03
    8000,2026-02-04T10:23:44.427+01:00, 0.100E-01,  73.90680, 0.53359E+03
    8100,2026-02-04T10:23:51.149+01:00, 0.100E-01,  74.93743, 0.54030E+03
    8200,2026-02-04T10:23:57.734+01:00, 0.115E-01,  75.99270, 0.54688E+03
    8300,2026-02-04T10:24:04.421+01:00, 0.117E-01,  77.02778, 0.55357E+03
    8400,2026-02-04T10:24:11.213+01:00, 0.115E-01,  78.08515, 0.56036E+03
    8500,2026-02-04T10:24:17.906+01:00, 0.985E-02,  79.16561, 0.56705E+03
    8600,2026-02-04T10:24:24.582+01:00, 0.110E-01,  80.22762, 0.57372E+03
    8700,2026-02-04T10:24:31.321+01:00, 0.967E-02,  81.31588, 0.58045E+03
    8800,2026-02-04T10:24:38.069+01:00, 0.917E-02,  82.39993, 0.58719E+03
    8900,2026-02-04T10:24:44.702+01:00, 0.110E-01,  83.46171, 0.59382E+03
    9000,2026-02-04T10:24:51.388+01:00, 0.122E-01,  84.54601, 0.60050E+03
    9100,2026-02-04T10:24:58.214+01:00, 0.936E-02,  85.58440, 0.60732E+03
    9200,2026-02-04T10:25:04.943+01:00, 0.993E-02,  86.60496, 0.61404E+03
    9300,2026-02-04T10:25:11.692+01:00, 0.102E-01,  87.68908, 0.62078E+03
    9400,2026-02-04T10:25:18.436+01:00, 0.121E-01,  88.79746, 0.62751E+03
