s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 2.4956220E+001, 0.0000000E+000,-2.1207311E-005,-1.6240847E-002,-9.5646605E-006,-1.1405009E-003, 5.0946847E+000, 0.0000000E+000, 7.2802447E-002, 3.0033492E+001, 0.0000000E+000, 2.1111135E-003, 0.0000000E+000, 1.7580800E-002
 2.5766250E-001, 8.7452305E+001, 0.0000000E+000,-5.2555351E-001,-2.1139552E-002,-1.0893959E-001,-7.7202173E-003, 2.6258704E+001, 0.0000000E+000, 6.8442083E+001, 1.1304766E+002, 0.0000000E+000, 3.4791174E-003, 0.0000000E+000, 3.6151494E+001
 4.0052548E-001, 1.1815070E+002, 0.0000000E+000,-6.0871425E+001,-2.9193696E-002,-9.3935970E-001,-8.7704135E-003, 2.4881896E+001, 0.0000000E+000, 1.1561413E+002, 8.1183844E+001, 0.0000000E+000, 4.6712812E-003, 0.0000000E+000, 1.9374611E+002
 4.8455784E-001, 8.0149336E+001, 0.0000000E+000,-4.8716053E+001,-3.7565877E-002,-1.2347580E+000,-1.1724367E-002, 7.4132270E+000, 0.0000000E+000, 1.6579477E+001, 3.7562463E+001, 0.0000000E+000, 5.9776827E-003, 0.0000000E+000, 2.0861749E+002
 6.0196996E-001, 1.1064877E+002, 0.0000000E+000,-5.2159833E+001,-4.9227508E-002,-1.2995776E+000,-1.1350075E-002, 1.7459286E+001, 0.0000000E+000, 5.9381994E+001, 7.4588066E+001, 0.0000000E+000, 6.9883542E-003, 0.0000000E+000, 2.7312902E+002
 7.2847295E-001, 1.9557586E+002, 0.0000000E+000,-9.5253156E+001,-5.4490896E-002,-1.6781679E+000,-1.4177893E-002, 3.4008244E+001, 0.0000000E+000, 1.2367608E+002, 1.3258411E+002, 0.0000000E+000, 8.1082801E-003, 0.0000000E+000, 4.2266236E+002
 8.5257727E-001, 2.9088587E+002, 0.0000000E+000,-1.3074046E+002,-5.8001459E-002,-2.3509661E+000,-1.6712714E-002, 5.6338542E+001, 0.0000000E+000, 2.0391515E+002, 2.1405828E+002, 0.0000000E+000, 9.1376365E-003, 0.0000000E+000, 6.6895422E+002
 9.6308047E-001, 4.0713403E+002, 0.0000000E+000,-1.6835551E+002,-6.4632385E-002,-3.4082642E+000,-1.6857186E-002, 8.4896435E+001, 0.0000000E+000, 3.1219577E+002, 3.2018520E+002, 0.0000000E+000, 9.9692041E-003, 0.0000000E+000, 1.0038441E+003
 1.0877354E+000, 4.4266229E+002, 0.0000000E+000,-1.7217679E+002,-7.0122598E-002,-4.8212470E+000,-1.6828239E-002, 9.9290999E+001, 0.0000000E+000, 3.6215409E+002, 3.6486830E+002, 0.0000000E+000, 1.0674265E-002, 0.0000000E+000, 1.4496515E+003
 1.2038654E+000, 4.2858653E+002, 0.0000000E+000,-1.5017842E+002,-7.4351467E-002,-6.5362152E+000,-1.9238810E-002, 1.0279576E+002, 0.0000000E+000, 3.7625509E+002, 3.7457406E+002, 0.0000000E+000, 1.1279453E-002, 0.0000000E+000, 1.8828268E+003
 1.3249491E+000, 4.0959260E+002, 0.0000000E+000,-1.4062891E+002,-7.6927741E-002,-8.5730327E+000,-2.0849555E-002, 9.6873671E+001, 0.0000000E+000, 3.5379035E+002, 3.5716655E+002, 0.0000000E+000, 1.1772865E-002, 0.0000000E+000, 2.3056591E+003
 1.4451851E+000, 4.6602683E+002, 0.0000000E+000,-1.4622646E+002,-7.9830490E-002,-1.0806365E+001,-2.1376177E-002, 1.1402283E+002, 0.0000000E+000, 4.1895006E+002, 4.2291563E+002, 0.0000000E+000, 1.2179953E-002, 0.0000000E+000, 2.7988622E+003
 1.5643842E+000, 4.7659179E+002, 0.0000000E+000,-1.4262816E+002,-8.1081550E-002,-1.3788668E+001,-2.1454433E-002, 1.2549670E+002, 0.0000000E+000, 4.4909273E+002, 4.4556912E+002, 0.0000000E+000, 1.2509038E-002, 0.0000000E+000, 3.3423752E+003
 1.6822218E+000, 4.5002206E+002, 0.0000000E+000,-1.2647582E+002,-9.0572466E-002,-1.8454750E+001,-2.2071964E-002, 1.1487670E+002, 0.0000000E+000, 4.1343112E+002, 4.1985554E+002, 0.0000000E+000, 1.2771713E-002, 0.0000000E+000, 3.8282054E+003
