,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T13:24:25.106+01:00, 0.103E+00,   0.10306, 0.22571E+01
       2,2026-02-04T13:24:25.175+01:00, 0.103E+00,   0.20613, 0.23253E+01
       3,2026-02-04T13:24:25.258+01:00, 0.103E+00,   0.30919, 0.24089E+01
       4,2026-02-04T13:24:25.348+01:00, 0.737E-01,   0.38290, 0.24982E+01
       5,2026-02-04T13:24:25.451+01:00, 0.436E-01,   0.42649, 0.25925E+01
       6,2026-02-04T13:24:25.528+01:00, 0.436E-01,   0.47009, 0.26698E+01
       7,2026-02-04T13:24:25.606+01:00, 0.378E-01,   0.50792, 0.27474E+01
       8,2026-02-04T13:24:25.665+01:00, 0.378E-01,   0.54575, 0.28069E+01
       9,2026-02-04T13:24:25.739+01:00, 0.378E-01,   0.58359, 0.28803E+01
      10,2026-02-04T13:24:25.820+01:00, 0.288E-01,   0.61241, 0.29618E+01
      20,2026-02-04T13:24:26.496+01:00, 0.154E-01,   0.81106, 0.36364E+01
      30,2026-02-04T13:24:27.147+01:00, 0.100E-01,   0.93676, 0.42870E+01
      40,2026-02-04T13:24:27.756+01:00, 0.990E-02,   1.03697, 0.48965E+01
      50,2026-02-04T13:24:28.358+01:00, 0.961E-02,   1.14158, 0.54978E+01
      60,2026-02-04T13:24:28.981+01:00, 0.930E-02,   1.24088, 0.61203E+01
      70,2026-02-04T13:24:29.611+01:00, 0.930E-02,   1.33389, 0.67497E+01
      80,2026-02-04T13:24:30.249+01:00, 0.836E-02,   1.42409, 0.73878E+01
      90,2026-02-04T13:24:30.887+01:00, 0.734E-02,   1.49744, 0.80259E+01
     100,2026-02-04T13:24:31.481+01:00, 0.807E-02,   1.57446, 0.86187E+01
     200,2026-02-04T13:24:37.777+01:00, 0.861E-02,   2.38160, 0.14904E+02
     300,2026-02-04T13:24:44.142+01:00, 0.852E-02,   3.15272, 0.21262E+02
     400,2026-02-04T13:24:50.725+01:00, 0.766E-02,   3.93986, 0.27838E+02
     500,2026-02-04T13:24:57.348+01:00, 0.783E-02,   4.76045, 0.34456E+02
     600,2026-02-04T13:25:03.962+01:00, 0.868E-02,   5.54449, 0.41034E+02
     700,2026-02-04T13:25:10.852+01:00, 0.765E-02,   6.34024, 0.47893E+02
     800,2026-02-04T13:25:17.485+01:00, 0.868E-02,   7.12407, 0.54505E+02
     900,2026-02-04T13:25:24.082+01:00, 0.763E-02,   7.92541, 0.61101E+02
    1000,2026-02-04T13:25:30.700+01:00, 0.729E-02,   8.76743, 0.67699E+02
    1100,2026-02-04T13:25:37.271+01:00, 0.959E-02,   9.57501, 0.74256E+02
    1200,2026-02-04T13:25:44.020+01:00, 0.879E-02,  10.45960, 0.80986E+02
    1300,2026-02-04T13:25:50.849+01:00, 0.932E-02,  11.35861, 0.87755E+02
    1400,2026-02-04T13:25:57.636+01:00, 0.779E-02,  12.20886, 0.94482E+02
    1500,2026-02-04T13:26:04.235+01:00, 0.104E-01,  13.03722, 0.10107E+03
    1600,2026-02-04T13:26:10.788+01:00, 0.887E-02,  13.92147, 0.10763E+03
    1700,2026-02-04T13:26:17.457+01:00, 0.818E-02,  14.80446, 0.11426E+03
    1800,2026-02-04T13:26:24.014+01:00, 0.843E-02,  15.66212, 0.12081E+03
    1900,2026-02-04T13:26:30.800+01:00, 0.872E-02,  16.51448, 0.12757E+03
    2000,2026-02-04T13:26:37.394+01:00, 0.973E-02,  17.38940, 0.13416E+03
    2100,2026-02-04T13:26:43.982+01:00, 0.849E-02,  18.30705, 0.14074E+03
    2200,2026-02-04T13:26:50.915+01:00, 0.779E-02,  19.20991, 0.14759E+03
    2300,2026-02-04T13:26:57.872+01:00, 0.771E-02,  20.05942, 0.15447E+03
    2400,2026-02-04T13:27:04.786+01:00, 0.905E-02,  20.89056, 0.16136E+03
    2500,2026-02-04T13:27:11.509+01:00, 0.818E-02,  21.76771, 0.16806E+03
    2600,2026-02-04T13:27:18.205+01:00, 0.909E-02,  22.62609, 0.17473E+03
    2700,2026-02-04T13:27:25.068+01:00, 0.101E-01,  23.54905, 0.18154E+03
    2800,2026-02-04T13:27:31.826+01:00, 0.101E-01,  24.48967, 0.18827E+03
    2900,2026-02-04T13:27:38.731+01:00, 0.948E-02,  25.44354, 0.19513E+03
    3000,2026-02-04T13:27:45.812+01:00, 0.100E-01,  26.41388, 0.20212E+03
    3100,2026-02-04T13:27:52.627+01:00, 0.925E-02,  27.34347, 0.20890E+03
