s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3038694E-005,-3.8857806E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3038694E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-1.0607455E-007,-2.2897456E-003, 0.0000000E+000,-3.0627870E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5961304E-003, 0.0000000E+000, 7.0886260E-004, 0.0000000E+000
 2.3498102E-001, 1.5125074E+001, 0.0000000E+000,-1.0346128E-007, 2.7086226E-001, 4.9772782E-009,-3.8254633E-004, 0.0000000E+000, 0.0000000E+000,-3.7902082E-003, 1.5395554E+001, 0.0000000E+000, 1.3460541E-003, 0.0000000E+000
 3.5247153E-001, 1.4873461E+001, 0.0000000E+000,-2.9567530E-001, 2.3269878E-001,-1.6634737E-002,-1.3695755E-003, 0.0000000E+000, 0.0000000E+000, 1.5024941E+001, 1.4792480E+001, 0.0000000E+000, 1.8662276E-003, 0.0000000E+000
 4.6996203E-001, 6.8782838E+001, 0.0000000E+000,-3.5668046E+000, 1.0177178E+000,-3.7624295E-002,-1.2088048E-003, 0.0000000E+000, 0.0000000E+000, 1.4943619E+001, 6.6194918E+001, 0.0000000E+000, 2.2584956E-003, 0.0000000E+000
 5.3957099E-001, 6.8872108E+001, 0.0000000E+000,-4.8185864E+001, 3.7522199E-001,-1.0067195E-001,-1.5900263E-003, 0.0000000E+000, 0.0000000E+000, 6.3038345E+001, 2.0959203E+001, 0.0000000E+000, 2.4357295E-003, 0.0000000E+000
 6.1614084E-001, 8.5548239E+001, 0.0000000E+000,-1.6758265E+001, 1.0703421E+000,-5.5747093E-002,-2.3324388E-003, 0.0000000E+000, 0.0000000E+000, 2.1505491E+001, 6.9802237E+001, 0.0000000E+000, 2.5904329E-003, 0.0000000E+000
 6.7168128E-001, 8.5429598E+001, 0.0000000E+000,-6.2376152E+001, 4.2948946E-001,-8.6138356E-002,-2.3124894E-003, 0.0000000E+000, 0.0000000E+000, 6.8365052E+001, 2.3394484E+001, 0.0000000E+000, 2.6802510E-003, 0.0000000E+000
 7.2722179E-001, 8.8923465E+001, 0.0000000E+000,-3.3247307E+001, 9.1072703E-001,-6.4381351E-002,-2.7129484E-003, 0.0000000E+000, 0.0000000E+000, 2.3170225E+001, 5.6519791E+001, 0.0000000E+000, 2.7542570E-003, 0.0000000E+000
