,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T10:28:23.207+01:00, 0.103E+00,   0.10306, 0.22387E+01
       2,2026-02-04T10:28:23.275+01:00, 0.103E+00,   0.20613, 0.23067E+01
       3,2026-02-04T10:28:23.378+01:00, 0.515E-01,   0.25766, 0.24088E+01
       4,2026-02-04T10:28:23.461+01:00, 0.476E-01,   0.30528, 0.24925E+01
       5,2026-02-04T10:28:23.524+01:00, 0.476E-01,   0.35290, 0.25553E+01
       6,2026-02-04T10:28:23.606+01:00, 0.476E-01,   0.40053, 0.26366E+01
       7,2026-02-04T10:28:23.668+01:00, 0.476E-01,   0.44815, 0.26992E+01
       8,2026-02-04T10:28:23.756+01:00, 0.364E-01,   0.48456, 0.27868E+01
       9,2026-02-04T10:28:23.832+01:00, 0.364E-01,   0.52097, 0.28625E+01
      10,2026-02-04T10:28:23.911+01:00, 0.313E-01,   0.55225, 0.29416E+01
      20,2026-02-04T10:28:24.623+01:00, 0.144E-01,   0.74283, 0.36531E+01
      30,2026-02-04T10:28:25.299+01:00, 0.109E-01,   0.87611, 0.43254E+01
      40,2026-02-04T10:28:25.911+01:00, 0.109E-01,   0.98482, 0.49374E+01
      50,2026-02-04T10:28:26.575+01:00, 0.804E-02,   1.07166, 0.56014E+01
      60,2026-02-04T10:28:27.235+01:00, 0.710E-02,   1.14921, 0.62612E+01
      70,2026-02-04T10:28:27.872+01:00, 0.859E-02,   1.22807, 0.68976E+01
      80,2026-02-04T10:28:28.510+01:00, 0.756E-02,   1.30983, 0.75354E+01
      90,2026-02-04T10:28:29.167+01:00, 0.671E-02,   1.38372, 0.81925E+01
     100,2026-02-04T10:28:29.887+01:00, 0.644E-02,   1.44519, 0.89053E+01
     200,2026-02-04T10:28:36.191+01:00, 0.857E-02,   2.18425, 0.15208E+02
     300,2026-02-04T10:28:43.392+01:00, 0.582E-02,   2.86036, 0.22347E+02
     400,2026-02-04T10:28:50.076+01:00, 0.720E-02,   3.56307, 0.29023E+02
     500,2026-02-04T10:28:56.842+01:00, 0.730E-02,   4.25097, 0.35765E+02
     600,2026-02-04T10:29:03.594+01:00, 0.859E-02,   4.96143, 0.42511E+02
     700,2026-02-04T10:29:10.345+01:00, 0.668E-02,   5.70346, 0.49250E+02
     800,2026-02-04T10:29:17.074+01:00, 0.820E-02,   6.45786, 0.55966E+02
     900,2026-02-04T10:29:24.284+01:00, 0.782E-02,   7.22452, 0.63110E+02
    1000,2026-02-04T10:29:31.339+01:00, 0.933E-02,   8.02701, 0.70146E+02
    1100,2026-02-04T10:29:38.471+01:00, 0.906E-02,   8.79478, 0.77250E+02
    1200,2026-02-04T10:29:45.738+01:00, 0.716E-02,   9.53789, 0.84486E+02
    1300,2026-02-04T10:29:52.568+01:00, 0.706E-02,  10.28933, 0.91306E+02
    1400,2026-02-04T10:29:59.581+01:00, 0.680E-02,  11.05534, 0.98305E+02
    1500,2026-02-04T10:30:06.770+01:00, 0.616E-02,  11.83334, 0.10545E+03
    1600,2026-02-04T10:30:13.682+01:00, 0.774E-02,  12.64375, 0.11230E+03
    1700,2026-02-04T10:30:20.809+01:00, 0.687E-02,  13.45213, 0.11937E+03
    1800,2026-02-04T10:30:27.730+01:00, 0.927E-02,  14.28993, 0.12625E+03
    1900,2026-02-04T10:30:34.512+01:00, 0.750E-02,  15.11408, 0.13303E+03
    2000,2026-02-04T10:30:41.337+01:00, 0.863E-02,  15.95470, 0.13984E+03
    2100,2026-02-04T10:30:48.119+01:00, 0.762E-02,  16.81185, 0.14661E+03
    2200,2026-02-04T10:30:54.878+01:00, 0.948E-02,  17.68499, 0.15335E+03
    2300,2026-02-04T10:31:01.606+01:00, 0.102E-01,  18.55104, 0.16006E+03
    2400,2026-02-04T10:31:08.377+01:00, 0.950E-02,  19.44347, 0.16682E+03
    2500,2026-02-04T10:31:15.261+01:00, 0.759E-02,  20.32890, 0.17369E+03
    2600,2026-02-04T10:31:21.967+01:00, 0.990E-02,  21.19662, 0.18038E+03
    2700,2026-02-04T10:31:29.099+01:00, 0.100E-01,  22.08361, 0.18745E+03
    2800,2026-02-04T10:31:36.380+01:00, 0.993E-02,  22.96616, 0.19465E+03
    2900,2026-02-04T10:31:43.593+01:00, 0.863E-02,  23.88615, 0.20183E+03
    3000,2026-02-04T10:31:50.891+01:00, 0.974E-02,  24.78638, 0.20910E+03
    3100,2026-02-04T10:31:57.500+01:00, 0.888E-02,  25.68752, 0.21569E+03
    3200,2026-02-04T10:32:04.157+01:00, 0.962E-02,  26.52513, 0.22235E+03
    3300,2026-02-04T10:32:10.837+01:00, 0.945E-02,  27.39167, 0.22902E+03
    3400,2026-02-04T10:32:17.489+01:00, 0.102E-01,  28.31341, 0.23567E+03
    3500,2026-02-04T10:32:25.012+01:00, 0.868E-02,  29.13226, 0.24305E+03
    3600,2026-02-04T10:32:32.569+01:00, 0.960E-02,  30.03637, 0.25053E+03
    3700,2026-02-04T10:32:39.991+01:00, 0.886E-02,  30.99034, 0.25785E+03
    3800,2026-02-04T10:32:47.486+01:00, 0.831E-02,  31.87756, 0.26525E+03
    3900,2026-02-04T10:32:54.179+01:00, 0.909E-02,  32.81164, 0.27193E+03
    4000,2026-02-04T10:33:00.999+01:00, 0.930E-02,  33.76653, 0.27875E+03
    4100,2026-02-04T10:33:07.752+01:00, 0.935E-02,  34.69543, 0.28549E+03
    4200,2026-02-04T10:33:14.295+01:00, 0.975E-02,  35.62473, 0.29202E+03
    4300,2026-02-04T10:33:20.727+01:00, 0.105E-01,  36.62025, 0.29845E+03
    4400,2026-02-04T10:33:27.168+01:00, 0.991E-02,  37.63899, 0.30489E+03
    4500,2026-02-04T10:33:33.657+01:00, 0.108E-01,  38.61047, 0.31138E+03
    4600,2026-02-04T10:33:40.197+01:00, 0.912E-02,  39.59437, 0.31791E+03
    4700,2026-02-04T10:33:46.606+01:00, 0.935E-02,  40.53147, 0.32431E+03
    4800,2026-02-04T10:33:53.070+01:00, 0.927E-02,  41.48705, 0.33078E+03
    4900,2026-02-04T10:33:59.473+01:00, 0.928E-02,  42.46320, 0.33718E+03
    5000,2026-02-04T10:34:05.958+01:00, 0.101E-01,  43.39530, 0.34366E+03
    5100,2026-02-04T10:34:12.405+01:00, 0.925E-02,  44.32559, 0.35010E+03
    5200,2026-02-04T10:34:18.808+01:00, 0.875E-02,  45.30675, 0.35651E+03
    5300,2026-02-04T10:34:25.368+01:00, 0.879E-02,  46.25903, 0.36306E+03
    5400,2026-02-04T10:34:31.734+01:00, 0.952E-02,  47.27318, 0.36943E+03
    5500,2026-02-04T10:34:38.224+01:00, 0.980E-02,  48.23606, 0.37591E+03
    5600,2026-02-04T10:34:44.690+01:00, 0.932E-02,  49.20174, 0.38238E+03
    5700,2026-02-04T10:34:51.068+01:00, 0.948E-02,  50.23881, 0.38875E+03
    5800,2026-02-04T10:34:57.556+01:00, 0.110E-01,  51.22752, 0.39524E+03
    5900,2026-02-04T10:35:03.989+01:00, 0.106E-01,  52.20997, 0.40167E+03
    6000,2026-02-04T10:35:10.422+01:00, 0.109E-01,  53.24280, 0.40810E+03
    6100,2026-02-04T10:35:16.931+01:00, 0.100E-01,  54.21291, 0.41460E+03
    6200,2026-02-04T10:35:23.373+01:00, 0.102E-01,  55.21072, 0.42104E+03
    6300,2026-02-04T10:35:29.884+01:00, 0.102E-01,  56.24853, 0.42755E+03
    6400,2026-02-04T10:35:36.421+01:00, 0.104E-01,  57.30807, 0.43408E+03
    6500,2026-02-04T10:35:42.945+01:00, 0.104E-01,  58.38208, 0.44060E+03
    6600,2026-02-04T10:35:49.794+01:00, 0.111E-01,  59.43244, 0.44741E+03
    6700,2026-02-04T10:35:56.891+01:00, 0.933E-02,  60.38839, 0.45448E+03
    6800,2026-02-04T10:36:03.544+01:00, 0.112E-01,  61.37169, 0.46113E+03
    6900,2026-02-04T10:36:10.333+01:00, 0.100E-01,  62.42231, 0.46791E+03
    7000,2026-02-04T10:36:17.114+01:00, 0.104E-01,  63.46437, 0.47468E+03
    7100,2026-02-04T10:36:24.062+01:00, 0.885E-02,  64.53585, 0.48161E+03
    7200,2026-02-04T10:36:30.869+01:00, 0.101E-01,  65.56970, 0.48841E+03
    7300,2026-02-04T10:36:37.553+01:00, 0.120E-01,  66.63260, 0.49507E+03
    7400,2026-02-04T10:36:44.292+01:00, 0.112E-01,  67.68087, 0.50180E+03
    7500,2026-02-04T10:36:51.039+01:00, 0.993E-02,  68.73900, 0.50853E+03
    7600,2026-02-04T10:36:57.607+01:00, 0.101E-01,  69.72429, 0.51510E+03
    7700,2026-02-04T10:37:04.211+01:00, 0.126E-01,  70.82815, 0.52170E+03
    7800,2026-02-04T10:37:10.935+01:00, 0.120E-01,  71.94622, 0.52842E+03
    7900,2026-02-04T10:37:17.939+01:00, 0.117E-01,  73.08765, 0.53534E+03
    8000,2026-02-04T10:37:24.638+01:00, 0.108E-01,  74.18959, 0.54201E+03
    8100,2026-02-04T10:37:31.242+01:00, 0.110E-01,  75.27304, 0.54861E+03
    8200,2026-02-04T10:37:38.037+01:00, 0.108E-01,  76.33487, 0.55533E+03
    8300,2026-02-04T10:37:44.800+01:00, 0.926E-02,  77.40990, 0.56209E+03
