s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.1910099E+001, 5.1332149E+002, 0.0000000E+000,-2.3667661E+002,-6.1702340E-002,-1.2405734E+002,-2.9295779E-002, 5.7717868E+001, 0.0000000E+000, 2.1393317E+002, 2.1021440E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 9.8516597E+004
 2.2000462E+001, 4.9250961E+002, 0.0000000E+000,-2.3216983E+002,-6.1664903E-002,-1.2495872E+002,-2.9346719E-002, 5.1177967E+001, 0.0000000E+000, 1.8799797E+002, 1.8646801E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 9.8732206E+004
 2.2103966E+001, 4.8363427E+002, 0.0000000E+000,-2.3102956E+002,-6.1800974E-002,-1.2554759E+002,-2.9259653E-002, 4.7791387E+001, 0.0000000E+000, 1.7522087E+002, 1.7475745E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 9.8962167E+004
 2.2212070E+001, 4.8839673E+002, 0.0000000E+000,-2.2942762E+002,-6.1920461E-002,-1.2586395E+002,-2.9015812E-002, 5.0026725E+001, 0.0000000E+000, 1.8027260E+002, 1.8304095E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 9.9210960E+004
 2.2300623E+001, 5.1895960E+002, 0.0000000E+000,-2.3770739E+002,-6.2354137E-002,-1.2583655E+002,-2.8688018E-002, 5.7372879E+001, 0.0000000E+000, 2.1127729E+002, 2.1269749E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 9.9445731E+004
 2.2410402E+001, 5.1667782E+002, 0.0000000E+000,-2.3994818E+002,-6.2274419E-002,-1.2593357E+002,-2.8690474E-002, 5.6822449E+001, 0.0000000E+000, 2.0876779E+002, 2.0752756E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 9.9735825E+004
 2.2500740E+001, 4.9680066E+002, 0.0000000E+000,-2.3180815E+002,-6.2404445E-002,-1.2613417E+002,-2.8739548E-002, 5.3238617E+001, 0.0000000E+000, 1.9456715E+002, 1.9200582E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 9.9960584E+004
 2.2602367E+001, 4.7717218E+002, 0.0000000E+000,-2.3091742E+002,-6.2161957E-002,-1.2658032E+002,-2.8821407E-002, 4.6104597E+001, 0.0000000E+000, 1.6804067E+002, 1.6568805E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0017967E+005
 2.2700609E+001, 4.7507649E+002, 0.0000000E+000,-2.3038818E+002,-6.2102198E-002,-1.2719380E+002,-2.8882622E-002, 4.4143260E+001, 0.0000000E+000, 1.5961355E+002, 1.6154678E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0037986E+005
 2.2812401E+001, 4.9287200E+002, 0.0000000E+000,-2.3657735E+002,-6.1851253E-002,-1.2741851E+002,-2.9237675E-002, 4.8090358E+001, 0.0000000E+000, 1.7598137E+002, 1.7687540E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0062854E+005
 2.2911772E+001, 5.1161115E+002, 0.0000000E+000,-2.4079737E+002,-6.1908829E-002,-1.2730164E+002,-2.9169208E-002, 5.3641085E+001, 0.0000000E+000, 1.9540614E+002, 1.9706215E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0087450E+005
 2.3011143E+001, 5.0264964E+002, 0.0000000E+000,-2.3842711E+002,-6.1705445E-002,-1.2711345E+002,-2.9127997E-002, 5.2528973E+001, 0.0000000E+000, 1.9047359E+002, 1.8954722E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0111744E+005
